date,status,gap,seconds,planned_cost_yuan,theta,day_end_soc_kwh
2025-02-01,0,0.0,0.06763146499997674,25809.258708154528,56236.26899872452,8700.0
2025-02-02,0,5.020691102651273e-16,0.027338275000147405,58501.80623006873,55949.11634454284,8700.0
2025-02-03,0,0.0,0.0288295560003462,57555.12947903955,55294.31157744986,8700.0
2025-02-04,0,2.5611731768970897e-16,0.02746713999977146,57288.996839558225,54836.443815053455,8700.0
2025-02-05,0,0.0,0.031257889999778854,57230.572642302606,55040.95936754793,8700.0
2025-02-06,0,0.0,0.02977310000005673,57511.35753679443,20654.420497993808,8700.0
2025-02-07,0,0.0,0.07084439400023257,22996.381842597726,19692.58328913418,8700.0
2025-02-08,0,0.0,0.06325835999996343,22050.086880588104,53118.98226213009,8700.0
2025-02-09,0,3.9799199517939024e-16,0.03648048100012602,55249.10400300764,53054.701923233646,8700.0
2025-02-10,0,0.0,0.02731596100011302,55348.99385018368,52685.60662164008,8700.0
2025-02-11,0,1.0793788679329253e-15,0.041403680999792414,54369.240710514234,52069.642048992486,8700.0
2025-02-12,0,0.0,0.037249422000058985,53302.847844724325,51163.55903498102,8700.0
2025-02-13,0,0.0,0.08908600200038563,52659.81219782066,17612.290889807602,7950.0
2025-02-14,0,0.0,0.1264328160000332,18933.266700241787,16851.922353864662,7199.999999999996
2025-02-15,0,0.0,0.06306487499978175,19419.561982830648,48008.30336830842,8700.0
2025-02-16,0,0.0,0.07379928099999233,50204.121238189546,47912.18792410456,8700.0
2025-02-17,0,0.0,0.08031052900014402,50168.78865703837,47649.847559614376,8700.0
2025-02-18,0,0.0,0.07522905699988769,49644.7028533396,47371.151481547255,8700.0
2025-02-19,0,0.0,0.0758095310002318,49270.18097234637,46903.81816577923,8700.0
2025-02-20,0,0.0,0.0783012060001056,48484.45245483528,16270.66953741449,7199.9999999999945
2025-02-21,0,0.0,0.10395518999985143,17947.224449497447,16550.055163249905,5999.999999999887
2025-02-22,0,0.0,0.11420559899988802,19512.16073436255,45658.639083028866,8700.0
2025-02-23,0,0.0,0.05454845499980365,48304.747096602354,45738.14365909759,8700.0
2025-02-24,0,0.0,0.057382277000215254,47947.926513931525,45540.03530903684,8700.0
2025-02-25,0,0.0,0.05694136100009928,47817.33210752762,45419.17196457147,8700.0
2025-02-26,0,0.0,0.056686044999878504,47387.92179743052,44802.45781372402,8700.0
2025-02-27,0,0.0,0.08584228500012614,45665.07266274789,16425.21652989731,5999.999999999947
2025-02-28,0,0.0,0.113587508999899,18091.71562851682,16241.772162511934,6000.000000000006
2025-03-01,0,0.0,0.06584050800029217,19226.147196525824,43713.05542894453,8700.0
2025-03-02,0,0.0,0.05976577800038285,46284.69424642599,43954.57124315656,8700.0
2025-03-03,0,0.0,0.07274316000030012,46752.997387991025,45445.130740426626,8700.0
2025-03-04,0,0.0,0.04340095699990343,48219.285134875994,47116.73910984189,8700.0
2025-03-05,0,0.0,0.044141673000012815,48989.821118483975,47685.66421283992,8700.0
2025-03-06,0,0.0,0.05034296599978916,47508.25310357993,16993.78024655357,6000.000000000002
2025-03-07,0,0.0,0.07916949099990234,17249.030175873846,17122.59487758526,4800.000000000002
2025-03-08,0,0.0,0.10611461899998176,19270.507235725272,47076.77861855597,8700.0
2025-03-09,0,0.0,0.04683080799986783,47414.88173464302,46323.61781450306,8700.0
2025-03-10,0,0.0,0.07522125700006654,46166.37412571788,45467.411005944814,8700.0
2025-03-11,0,0.0,0.07343389100014974,45941.246772206556,45172.575908786435,8700.0
2025-03-12,0,0.0,0.07766348000041035,45607.60142038669,44360.03294056287,8700.0
2025-03-13,0,0.0,0.06451539099998627,43012.0993932532,15514.865580995962,4799.999999999996
2025-03-14,0,0.0,0.08069500600004176,16235.435904378784,15732.996268510826,4200.0
2025-03-15,0,0.0,0.07155171299973517,18504.07484253766,43231.09215640286,8700.0
2025-03-16,0,0.0,0.056786338000165415,44454.56373285137,43170.49080053437,8700.0
2025-03-17,0,0.0,0.05666705700014063,44063.88411129029,42411.67002982619,8700.0
2025-03-18,0,0.0,0.05680003799989208,42254.28677446655,40803.28799416655,8700.0
2025-03-19,0,0.0,0.05828018600004725,42293.5826398458,40426.044905692295,8700.0
2025-03-20,0,0.0,0.07756197999970027,39803.19342372232,15308.484476491783,3599.9999999999923
