date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh
2025-04-25,1,26578.718116844557,4.4075854077618715e-14,26578.718116844557,12855.55836978446,1.6837781169343202e-13,12855.55836978446,19676.27844327454,16084.872766964967,20986.954790534983,0,0,1.5654144647214707e-14,0,3.552713678800501e-14,10286.240343437265,10122.810090201057
2025-04-26,1,26601.660343328578,96.24636161904586,26697.906704947625,12829.798547716777,537.5151105772272,13367.313658294004,19800.572411787176,16382.408232195236,23209.54889202235,2,1,1.1546319456101628e-14,0,2.842170943040401e-14,10122.810090201057,9740.64944725926
2025-04-27,1,52645.40346000981,576.1176602190505,53221.52112022886,31759.424250847234,3982.2409157329967,35741.66516658023,20574.953754191647,16621.668804628567,694.7649873324507,2,1,7.993605777301127e-14,0,2.3803181647963356e-13,9740.64944725926,9789.586931999998
2025-04-28,1,52612.689240863525,6722.6926496282895,59335.381890491815,31756.29475915175,44211.057474939254,75967.352234091,13891.543380132338,11178.12880630719,3.5704772471945034e-13,21,1,1.2447855246566775e-13,0,2.2737367544323206e-13,9789.586931999998,9871.832856
2025-04-29,1,54279.82210461083,252.97735373710054,54532.79945834793,32741.487322392964,1761.6168247900123,34503.10414718298,18433.585162587704,14799.20808466271,3465.208663756271,2,1,1.9895196601282805e-13,0,3.1796787425264483e-13,9871.832856,10018.494963814815
2025-04-30,1,53559.286458008326,1.8562928971732617e-13,53559.286458008326,32454.947759162613,5.350253573510599e-13,32454.947759162613,18819.818045722477,15017.948587891062,1500.562566843581,0,0,8.881784197001252e-14,0,1.290079154614432e-13,10018.494963814815,10269.721662863867
2025-05-01,1,52779.21955709424,1837.1098095238087,54616.329366618054,32163.301373548373,11754.957446899327,43918.2588204477,19660.41930417242,17012.348966190475,956.8802286361023,9,1,7.815970093361102e-14,0,3.632649736573512e-13,10269.721662863867,9061.489074185185
2025-05-02,1,27347.48013482769,2680.151720658025,30027.631855485713,13212.804320339174,15856.94194310714,29069.74626344631,19675.25848904762,15793.19606689524,11855.24935,15,1,0.0,0,0.0,9061.489074185185,9221.226084444443
2025-05-03,1,27626.052447656322,1551.505137142855,29177.55758479918,13521.259228883198,9006.009471516556,22527.268700399753,19770.80002416814,15896.200882314286,16435.786792945324,8,1,0.0,0,2.4868995751603507e-14,9221.226084444443,9352.500681402118
2025-05-04,1,55529.15317365392,665.5579700571445,56194.711143711065,33910.409305823145,3664.828335864988,37575.23764168813,17334.154988861443,14712.131682380954,1838.0205038972406,8,1,1.6328193137848945e-13,0,2.6645352591003757e-13,9352.500681402118,8606.42719095413
2025-05-05,1,56103.272805222005,2044.6618000740914,58147.9346052961,34524.16997992731,13740.659914364947,48264.829894292256,18435.564998553866,15363.637193257773,3.794430047943109e-13,10,1,3.7158817689508794e-13,0,2.0961010704922955e-13,8606.42719095413,8127.727697143971
2025-05-06,1,56439.50199780928,292.34073330852647,56731.84273111781,34778.12161479962,1437.2265138048333,36215.34812860445,20610.245841911863,16849.48192215796,100.9964446972412,6,1,1.7265442547875764e-13,0,2.8421709430404007e-13,8127.727697143971,7955.302374689148
2025-05-07,1,57309.27291362441,1602.3863751426159,58911.65928876703,35084.77948029891,10872.877045649471,45957.656525948376,19302.176985291077,15504.042104143098,45.678457619047585,6,1,1.2583900935170256e-13,0,2.6290081223123707e-13,7955.302374689148,8100.548212403227
2025-05-08,1,58648.92211652214,550.8199841570766,59199.742100679214,36375.035631693965,3753.4789860291653,40128.51461772313,18105.22115947447,14731.991458795252,5.405392116981239e-13,4,1,8.452058497532278e-13,0,9.237055564881302e-14,8100.548212403227,8026.367857268863
