date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh,v1_total_cost_yuan,savings_vs_v1_yuan,same_risk_no_storage_cost_yuan
2025-02-01,1,47108.69673477165,83.607655165256,47192.30438993691,24536.508708154528,301.1723454524388,24837.681053606968,20631.55463108702,16711.559251180483,8894.133076697037,6,1,30.18739760128244,2,2062.2221574959135,5999.999999999998,6000.000000000003,23706.84576857229,-1130.8352850346782,37328.006893794576
2025-02-02,1,92642.0658755059,18.49930167839318,92660.5651771843,58510.15623006874,93.63575956157433,58603.791989630314,24833.333333333332,20115.0,9585.95389385096,3,1,0.0,0,2597.770802139001,6000.000000000003,6000.0,56986.17523420444,-1617.6167554258718,70061.31373946198
2025-02-03,1,91386.15482736447,81.63328483517444,91467.78811219965,57563.479479039546,320.74244789999125,57884.221926939535,24597.051527478754,19923.611737257786,6577.43182197868,9,1,11.064681736468401,2,2140.959317076752,6000.0,6000.000000000002,57022.03013186021,-862.1917950793286,69315.39877459947
2025-02-04,1,91138.6012547946,700.1765144776334,91838.77776927223,57297.346839558224,2827.7310245134954,60125.07786407172,24496.82128565874,19842.425241383582,5989.517774997078,22,1,210.3628939198623,6,1149.1600547914004,6000.000000000002,6000.0,59737.60230499087,-387.47555908084905,71538.10114378973
2025-02-05,1,90951.81537123266,229.19806014896926,91181.01343138162,57238.92264230261,849.4777463598774,58088.400388662485,24533.420379703446,19872.07050755979,5771.236575904642,12,1,111.89585672907992,4,1197.3480945007923,6000.0,6000.0,57811.79398107885,-276.606407583633,69510.66665485121
2025-02-06,1,91224.01153942634,143.74650422590935,91367.75804365225,57519.70753679443,695.3117402546841,58215.019277049105,24547.137196517757,19883.181129179386,6432.744759647216,14,1,16.86518563379127,2,1839.6518754818394,6000.0,6000.000000000002,57191.00226320427,-1024.0170138448375,69649.18262135967
2025-02-07,1,44642.62631250728,135.61115794235823,44778.23747044964,23004.73184259773,775.8834432331998,23780.61528583093,20564.200586515377,16657.002475077454,9065.359692345046,12,1,0.0,0,1400.8822138402486,6000.000000000002,6000.0,23374.25199861223,-406.3632872186972,36715.04712182271
2025-02-08,1,42785.66022939172,194.0548634085181,42979.71509280024,22058.436880588102,1061.055864321103,23119.492744909207,20534.645545597465,16633.062891933943,7500.969722470048,15,1,60.45618402908133,4,2062.34558096772,6000.0,6000.000000000004,22955.86138277984,-163.6313621293666,35737.79577704676
2025-02-09,1,88011.2695294969,613.8019486241747,88625.07147812107,55257.45400300764,1833.481660416996,57090.935663424636,24522.54256012617,19863.259473702197,4410.372425030432,17,1,396.1039043152192,6,1294.1806813182338,6000.000000000004,6000.000000000001,57898.97594641733,808.040282992697,68446.71157317286
2025-02-10,1,88162.82575376949,105.11591093823765,88267.94166470773,55357.34385018368,514.4449482285883,55871.78879841227,24620.42136874598,19942.541308684245,9263.424021312661,11,1,14.100118673509996,3,3691.7812429772157,6000.000000000001,6000.000000000001,55170.50318868593,-701.285609726343,67276.80249341295
2025-02-11,1,86887.68583263784,97.42623111011224,86985.11206374796,54377.59071051423,517.8724452670126,54895.463155781246,24501.289142528294,19846.044205447917,7109.269993334244,11,1,0.7750134754573992,2,2336.436565140184,6000.000000000001,6000.000000000004,54425.27835821382,-470.18479756742454,66319.51269530621
2025-02-12,1,85321.08739948702,398.6157143646725,85719.70311385169,53311.19784472433,1619.5936980414806,54930.79154276581,24287.630694582243,19672.980862611625,5838.317148547739,22,1,19.137496383922382,2,2175.929702418549,6000.000000000004,6000.0,54600.81349184017,-329.97805092563794,66356.38207742634
2025-02-13,1,84784.95815971261,228.17886647491235,85013.13702618753,53022.16219782066,706.1321459208812,53728.29434374154,24308.451357276193,19689.845599393717,9065.052251638372,23,1,46.578742649408674,4,3874.394406882485,6000.0,6000.0,53575.57240808814,-152.72193565339694,65155.6732033364
2025-02-14,1,37242.86877846178,807.7585867050202,38050.6273651668,19289.51690264792,2616.555038311583,21906.071940959504,19159.80655811136,15519.443312070198,4608.462302458973,34,1,491.3082586374176,13,1064.50348277405,6000.0,6000.0,22692.986609220516,786.9146682610117,34322.7818658901
2025-02-15,1,36151.494449673875,863.1539175850207,37014.648367258895,18713.27420078771,3007.5130951900587,21720.787295977767,18599.548572896554,15065.63434404621,4200.643038408555,47,1,230.6119385624047,8,759.3715045212722,6000.0,6000.000000000003,21752.515826580468,31.72853060270063,34807.37876028461
2025-02-16,1,81031.00431190294,1260.5265930244575,82291.53090492741,50212.47123818955,4984.141629950907,55196.61286814046,23236.235400854468,18821.350674692123,2499.267078765062,61,1,284.7113638100877,17,823.9688132254236,6000.000000000003,6000.0,55502.1001105602,305.4872424197383,66249.94229111788
2025-02-17,1,81036.93809442122,354.8159441232875,81391.7540385445,50177.13865703837,1249.8751696171048,51427.01382665547,23214.36577706089,18803.636279419323,5797.161374236269,29,1,111.45578201643093,6,2478.3399846521143,6000.0,6000.0,51602.89903298374,175.8852063282684,62634.79683246158
