date,status,gap,seconds,objective_yuan,planned_cost_yuan,terminal_penalty_yuan,expected_emergency_cost_yuan,objective_reconstruction_error
2025-02-01,0,0.0,0.18783030001213774,25659.242752501574,24536.508708154528,0.0,1122.7340443470466,0.0
2025-02-02,0,0.0,0.14439929998479784,59994.78858878043,58510.15623006874,0.0,1484.63235871169,0.0
2025-02-03,0,0.0,0.15757089998805895,59055.92532617039,57563.47947903954,0.0,1492.4458471308474,7.275957614183426e-12
2025-02-04,0,0.0,0.14658860000781715,58806.66825126473,57297.34683955823,0.0,1509.3214117065086,7.275957614183426e-12
2025-02-05,0,0.0,0.136792700010119,58675.44958592137,57238.922642302605,0.0,1436.5269436187598,7.275957614183426e-12
2025-02-06,0,0.0,0.12533179999445565,58990.93513255456,57519.70753679443,0.0,1471.2275957601335,0.0
2025-02-07,0,0.0,0.13947370002279058,24081.997702616423,23004.73184259773,0.0,1077.2658600186958,0.0
2025-02-08,0,0.0,0.23095420000026934,23116.05479068951,22058.436880588102,0.0,1057.6179101014093,0.0
2025-02-09,0,0.0,0.13968779999413528,56643.6574585461,55257.45400300764,0.0,1386.2034555384585,0.0
2025-02-10,0,0.0,0.14418119998299517,56763.19478184293,55357.34385018368,0.0,1405.8509316592551,0.0
2025-02-11,0,0.0,0.1534817999927327,55792.70184091669,54377.59071051423,0.0,1415.1111304024619,0.0
2025-02-12,0,0.0,0.19306429999414831,54759.77334640704,53311.19784472433,0.0,1448.5755016827118,0.0
2025-02-13,0,0.0,0.14076330000534654,54460.074371575225,53022.16219782066,0.0,1437.9121737545634,0.0
2025-02-14,0,0.0,0.15813060000073165,20244.059825154454,19289.51690264792,0.0,954.542922506533,0.0
2025-02-15,0,0.0,0.25922259999788366,19466.106470947674,18713.27420078771,0.0,752.8322701599652,0.0
2025-02-16,0,0.0,0.09853940000175498,51635.675706889415,50212.47123818955,0.0,1423.2044686998584,7.275957614183426e-12
2025-02-17,0,0.0,0.10851429999456741,51546.94454334072,50177.13865703836,0.0,1369.8058863023575,7.275957614183426e-12
2025-02-18,0,0.0,0.12479380000149831,51078.28769679636,49653.052853339614,0.0,1425.234843456755,7.275957614183426e-12
2025-02-19,0,0.0,0.12136950000422075,50599.98657081899,49278.530972346365,0.0,1321.455598472626,0.0
2025-02-20,0,0.0,0.1036121999786701,50558.27419335702,49200.21912150194,0.0,1358.0550718550755,7.275957614183426e-12
2025-02-21,0,0.0,0.1530219000123907,19092.164579046294,18513.386658358373,0.0,578.7779206879222,0.0
2025-02-22,0,0.0,0.28753400000277907,18824.000355916338,18239.410734362496,0.0,584.5896215538412,0.0
2025-02-23,0,0.0,0.0949477999820374,49691.654493007554,48313.097096602345,0.0,1378.557396405206,0.0
2025-02-24,0,0.0,0.08787000001757406,49269.736826457374,47956.276513931516,0.0,1313.4603125258575,0.0
2025-02-25,0,0.0,0.10454380000010133,49169.319393490536,47825.68210752762,0.0,1343.6372859629157,0.0
2025-02-26,0,0.0,0.1589254999998957,48728.89166396923,47396.27179743051,0.0,1332.6198665387105,7.275957614183426e-12
2025-02-27,0,0.0,0.1402599999855738,48335.6116795828,46946.17266274792,0.0,1389.43901683488,0.0
2025-02-28,0,0.0,0.15341189998434857,18687.657911530274,18091.715628516795,0.0,595.9422830134803,0.0
2025-03-01,0,0.0,0.12240329998894595,18515.444712989636,17953.397196525828,0.0,562.0475164638076,0.0
2025-03-02,0,0.0,0.11058680000132881,47925.28255809972,46293.044246426,0.0,1632.2383116737312,7.275957614183426e-12
2025-03-03,0,0.0,0.14623549999669194,49179.09669045287,46761.347387991016,0.0,2417.749302461851,0.0
2025-03-04,0,0.0,0.107597900001565,50651.41294632689,48227.63513487599,0.0,2423.777811450897,0.0
2025-03-05,0,0.0,0.08775180001975968,51439.54844321374,48998.17111848398,0.0,2441.377324729762,7.275957614183426e-12
2025-03-06,0,0.0,0.10903110000072047,51226.80108841647,48789.35310357993,0.0,2437.4479848365368,0.0
2025-03-07,0,0.0,0.18428790001780726,19367.016616177098,17813.780175873846,0.0,1553.236440303252,0.0
2025-03-08,0,0.0,0.17033970000920817,18883.937331198325,17451.33174104517,0.0,1432.6055901531563,3.637978807091713e-12
2025-03-09,0,0.0,0.1040659999998752,50001.64424112573,47423.23173464303,0.0,2578.4125064827012,0.0
2025-03-10,0,0.0,0.10323799998150207,48862.73314222387,46174.72412571788,0.0,2688.009016505991,0.0
2025-03-11,0,0.0,0.10268579999683425,48691.55581335307,45949.596772206554,0.0,2741.95904114651,7.275957614183426e-12
2025-03-12,0,0.0,0.10996679999516346,48244.13481089192,45615.951420386686,0.0,2628.1833905052326,0.0
2025-03-13,0,0.0,0.10191850000410341,47583.674519084074,44857.9493932532,0.0,2725.725125830875,0.0
2025-03-14,0,0.0,0.18227140000090003,17385.920598026307,16578.24036374175,0.0,807.6802342845587,0.0
2025-03-15,0,0.0,0.17657849998795427,17054.499198787238,16474.782888871938,0.0,579.7163099152984,3.637978807091713e-12
2025-03-16,0,0.0,0.11667379998834804,46855.08902942033,44462.913732851375,0.0,2392.1752965689543,0.0
2025-03-17,0,0.0,0.11169829999562353,46035.452406692304,44072.234111290294,0.0,1963.2182954020157,7.275957614183426e-12
2025-03-18,0,0.0,0.12863350001862273,44337.16839400875,42262.63677446655,0.0,2074.5316195422092,0.0
2025-03-19,0,0.0,0.11010680001345463,44485.01446630063,42301.9326398458,0.0,2183.0818264548266,0.0
2025-03-20,0,0.0,0.0944506999803707,44367.45836066644,42210.97675705566,0.0,2156.481603610779,0.0
2025-03-21,0,2.190306298894731e-16,0.15402889999677427,16609.452335171132,15929.915975667343,0.0,679.5363595037894,0.0
2025-03-22,0,0.0,0.11420879999059252,16743.508622224403,16082.590640686463,0.0,660.9179815379384,0.0
2025-03-23,0,0.0,0.12839789999998175,42977.92815318314,41194.10769263697,0.0,1783.8204605461683,0.0
2025-03-24,0,0.0,0.10190989999682643,42607.131162076985,40991.51361277759,0.0,1615.6175492993837,7.275957614183426e-12
2025-03-25,0,0.0,0.10906359998625703,42392.84656023065,40685.38163090013,0.0,1707.4649293305315,7.275957614183426e-12
2025-03-26,0,0.0,0.14206290000583977,42581.71175693571,41061.10026875416,0.0,1520.611488181538,7.275957614183426e-12
2025-03-27,0,0.0,0.15007699999841861,42270.96009859055,40744.211478934565,0.0,1526.7486196559817,0.0
2025-03-28,0,0.0,0.1549090999760665,16049.488163621189,15402.45352208266,0.0,647.0346415385296,1.8189894035458565e-12
2025-03-29,0,0.0,0.0977032000082545,16090.560025595472,15467.095698204603,0.0,623.4643273908711,1.8189894035458565e-12
2025-03-30,0,0.0,0.13402359999599867,40176.26330248666,38669.54015101427,0.0,1506.7231514723924,0.0
2025-03-31,0,0.0,0.16434479999588802,39793.69358991885,38198.91292946306,0.0,1594.7806604557827,0.0
2025-04-01,0,0.0,0.11541590001434088,40125.23955853709,38535.794542855685,0.0,1589.4450156814098,7.275957614183426e-12
2025-04-02,0,0.0,0.1360147999948822,40395.32909541776,38725.108406023064,0.0,1670.2206893946939,0.0
2025-04-03,0,0.0,0.09544669999741018,41788.53575174682,39702.07309732879,0.0,2086.4626544180364,0.0
2025-04-04,0,0.0,0.2667944999993779,15647.12092694405,15094.941334713883,0.0,552.179592230167,0.0
2025-04-05,0,1.1577381559083309e-16,0.16582530000596307,15711.578600592335,15179.303835435529,0.0,532.2747651568067,0.0
2025-04-06,0,0.0,0.1404982999956701,41475.207726952656,39422.18745553025,0.0,2053.0202714224115,7.275957614183426e-12
2025-04-07,0,0.0,0.1558200000145007,41019.67535963268,38994.50485683794,0.0,2025.1705027947332,7.275957614183426e-12
2025-04-08,0,0.0,0.12982550001470372,40902.99290795821,38912.03425597621,0.0,1990.9586519819984,0.0
2025-04-09,0,0.0,0.13712199998553842,40512.90124197357,38357.33430009919,0.0,2155.566941874386,0.0
2025-04-10,0,0.0,0.1486066000070423,40875.003467420756,39037.70059673968,0.0,1837.3028706810771,7.275957614183426e-12
2025-04-11,0,0.0,0.19649670002399944,15290.9678445896,14650.545873058034,0.0,640.4219715315661,0.0
2025-04-12,0,0.0,0.2408160999766551,15499.539616378794,14847.18083076083,0.0,652.3587856179647,1.8189894035458565e-12
2025-04-13,0,0.0,0.13275910000083968,40284.96794217449,38410.07437928626,0.0,1874.8935628882227,0.0
2025-04-14,0,0.0,0.13168439999572001,39890.26868170057,38086.279112237375,0.0,1803.9895694631898,0.0
2025-04-15,0,0.0,0.14458620001096278,40121.22820237701,38213.780568362075,0.0,1907.4476340149374,0.0
2025-04-16,0,0.0,0.19577859999844804,39316.680202663614,37514.99269662666,0.0,1801.687506036958,0.0
2025-04-17,0,0.0,0.1452992999984417,38476.24286237343,36966.33890468173,0.0,1509.9039576916934,7.275957614183426e-12
2025-04-18,0,0.0,0.13892120000673458,14848.82402768933,14293.790148267963,0.0,555.0338794213746,7.275957614183426e-12
2025-04-19,0,0.0,0.12798220000695437,14798.937781124112,14225.318389728778,0.0,573.619391395336,1.8189894035458565e-12
2025-04-20,0,0.0,0.10879599998588674,37913.25243835149,36548.49811525391,0.0,1364.7543230975753,7.275957614183426e-12
2025-04-21,0,0.0,0.14455359999556094,37690.66167087337,36315.87940651167,0.0,1374.782264361704,0.0
2025-04-22,0,0.0,0.11344480002298951,37599.74021503693,36205.6530132423,0.0,1394.0872017946308,0.0
2025-04-23,0,0.0,0.166983800008893,37696.15218442959,36329.427489072215,0.0,1366.7246953573763,0.0
2025-04-24,0,0.0,0.09505820000777021,36912.08728219737,35772.483916652345,0.0,1139.6033655450146,7.275957614183426e-12
2025-04-25,0,0.0,0.13033469999209046,14052.32273713211,13512.90539978285,0.0,539.4173373492584,1.8189894035458565e-12
2025-04-26,0,0.0,0.12551990000065416,13938.135340649398,13436.557084945183,0.0,501.5782557042158,1.8189894035458565e-12
2025-04-27,0,0.0,0.15677609998965636,34845.162554148774,33825.8140944689,0.0,1019.3484596798756,0.0
2025-04-28,0,0.0,0.17005729998345487,35134.011583939624,33980.90881125894,0.0,1153.1027726806922,7.275957614183426e-12
2025-04-29,0,0.0,0.10600420000264421,36962.150070712014,35067.50839869186,0.0,1894.6416720201503,0.0
2025-04-30,0,0.0,0.14114770002197474,36879.891670003955,34954.26486935503,0.0,1925.6268006489283,0.0
2025-05-01,0,0.0,0.2071880000003148,36669.21094188721,34855.287503036925,0.0,1813.923438850287,0.0
2025-05-02,0,0.0,0.17416480000247248,14780.744506303752,13640.197259090559,0.0,1140.5472472131949,1.8189894035458565e-12
2025-05-03,0,0.0,0.19634340002085082,15617.128395334703,14176.27219941038,0.0,1440.8561959243216,1.8189894035458565e-12
2025-05-04,0,0.0,0.2282188999815844,40214.25107350313,37571.24353811755,0.0,2643.0075353855777,0.0
2025-05-05,0,0.0,0.1384472000063397,40755.86851138663,38255.0528882428,0.0,2500.815623143831,0.0
2025-05-06,0,0.0,0.15302510000765324,40689.70779849471,38382.51104698909,0.0,2307.1967515056167,0.0
2025-05-07,0,0.0,0.13834159998805262,41228.65847070247,39001.03535597613,0.0,2227.6231147263393,0.0
2025-05-08,0,0.0,0.16035560000455007,42920.51890099803,40794.97805945704,0.0,2125.540841540988,0.0
2025-05-09,0,0.0,0.11436939999111928,17889.871616296543,16897.42857471438,0.0,992.4430415821644,0.0
2025-05-10,0,0.0,0.13744010002119467,17837.25177803792,16877.795017603807,0.0,959.4567604341144,0.0
2025-05-11,0,0.0,0.08758030002354644,43165.534203925,41029.955530376865,0.0,2135.5786735481347,0.0
2025-05-12,0,0.0,0.11543309999979101,43800.001326101126,41588.46234751766,0.0,2211.538978583467,7.275957614183426e-12
2025-05-13,0,0.0,0.10457120000501163,42829.076961624385,40955.80710764835,0.0,1873.269853976041,0.0
2025-05-14,0,0.0,0.11280550001538359,43024.9091854332,41092.57230270514,0.0,1932.3368827280503,7.275957614183426e-12
2025-05-15,0,0.0,0.13988440000684932,43414.47558502975,41475.99749354555,0.0,1938.4780914842,7.275957614183426e-12
2025-05-16,0,0.0,0.12548079999396577,17977.097032593018,17004.600878954647,0.0,972.4961536383711,0.0
2025-05-17,0,0.0,0.17077210001298226,17730.076136081083,16806.38925310852,0.0,923.6868829725654,0.0
2025-05-18,0,0.0,0.21775459998752922,41538.31831614223,39702.92311045878,0.0,1835.395205683441,7.275957614183426e-12
2025-05-19,0,0.0,0.1325234999821987,41258.69650976782,39429.68070232554,0.0,1829.015807442274,7.275957614183426e-12
2025-05-20,0,0.0,0.12413290000404231,40674.83308188668,38780.63458630146,0.0,1894.1984955852256,0.0
2025-05-21,0,0.0,0.12386339998920448,40672.24528471618,38812.95327197243,0.0,1859.2920127437458,0.0
2025-05-22,0,0.0,0.12775109999347478,40494.28777018063,38770.07709709658,0.0,1724.2106730840478,0.0
2025-05-23,0,0.0,0.2869744999916293,16698.1197464455,15958.14998583403,0.0,739.9697606114677,3.637978807091713e-12
2025-05-24,0,0.0,0.11355840001488104,16946.91136772549,16177.132208559939,0.0,769.7791591655508,0.0
2025-05-25,0,0.0,0.1597470999986399,39647.92593540334,37979.78212966115,0.0,1668.1438057421838,7.275957614183426e-12
2025-05-26,0,0.0,0.138479199988069,38878.94110253355,37141.63091982873,0.0,1737.3101827048233,0.0
2025-05-27,0,0.0,0.13936840000678785,39906.04827172828,37926.93485325725,0.0,1979.1134184710293,0.0
2025-05-28,0,0.0,0.14002479999908246,39482.674303621134,37508.85947665661,0.0,1973.814826964516,7.275957614183426e-12
2025-05-29,0,0.0,0.22581770000397228,39558.14224717897,37713.759697451496,0.0,1844.3825497274743,0.0
2025-05-30,0,0.0,0.19172810000600293,16300.238958673917,15479.357227761313,0.0,820.8817309126025,1.8189894035458565e-12
2025-05-31,0,0.0,0.23780070000793785,16645.22906104316,15853.044100582709,0.0,792.1849604604519,0.0
2025-06-01,0,0.0,0.1348308000015095,40655.22101487807,38855.959226494575,0.0,1799.2617883835032,7.275957614183426e-12
2025-06-02,0,0.0,0.10152430000016466,44365.46300827002,40679.899740242734,0.0,3685.5632680272806,0.0
2025-06-03,0,0.0,0.11779440002283081,47414.38899235879,42508.90708714057,0.0,4905.481905218209,1.4551915228366852e-11
2025-06-04,0,0.0,0.0918701000045985,49373.32371311055,45034.512449881615,0.0,4338.811263228931,0.0
2025-06-05,0,0.0,0.11764660000335425,51022.27525976889,47405.93992449301,0.0,3616.3353352758786,0.0
2025-06-06,0,0.0,0.14468379999743775,21676.588265421684,19733.015075945306,0.0,1943.5731894763755,3.637978807091713e-12
2025-06-07,0,0.0,0.13071689999196678,23496.288097517747,21692.984963099978,0.0,1803.303134417771,3.637978807091713e-12
2025-06-08,0,0.0,0.17446340000606142,59621.24215923282,57055.52180851424,0.0,2565.720350718574,0.0
2025-06-09,0,0.0,0.13939109997591004,58636.210579397244,56069.58693847932,0.0,2566.6236409179287,0.0
2025-06-10,0,0.0,0.16406389998155646,58943.905545783295,56425.109997303836,0.0,2518.795548479456,0.0
2025-06-11,0,0.0,0.12305530000594445,59240.91755604664,56716.83577244214,0.0,2524.081783604498,7.275957614183426e-12
2025-06-12,0,0.0,0.13440509999054484,60262.39981582005,57788.14037519261,0.0,2474.2594406274393,0.0
2025-06-13,0,0.0,0.148310999997193,27553.19383059078,25689.359954284,0.0,1863.8338763067788,0.0
2025-06-14,0,0.0,0.1365640000149142,27569.69681076587,25726.52558042058,0.0,1843.1712303452853,3.637978807091713e-12
2025-06-15,0,0.0,0.12800440000137314,61642.69454063321,59189.45219359331,0.0,2453.242347039904,0.0
2025-06-16,0,0.0,0.12883410000358708,61128.0513165959,58757.38926754719,0.0,2370.6620490487066,7.275957614183426e-12
2025-06-17,0,0.0,0.11786279999068938,60366.137553768895,57639.68223507069,0.0,2726.455318698205,7.275957614183426e-12
2025-06-18,0,0.0,0.1627364000014495,60600.41377954494,57658.26437640875,0.0,2942.1494031361967,0.0
2025-06-19,0,0.0,0.1476449999900069,59683.45411022483,56570.69881744805,0.0,3112.755292776779,7.275957614183426e-12
2025-06-20,0,0.0,0.1872622000228148,26188.474237312737,24010.234202922184,0.0,2178.2400343905515,3.637978807091713e-12
2025-06-21,0,0.0,0.1768475999997463,24580.620620032525,22991.404566630357,0.0,1589.2160534021682,0.0
2025-06-22,0,0.0,0.1318629999877885,55044.54026394009,52452.49166445231,0.0,2592.048599487774,7.275957614183426e-12
2025-06-23,0,0.0,0.1070674000075087,54601.928511900725,51974.29625465989,0.0,2627.632257240839,0.0
2025-06-24,0,0.0,0.1175453000178095,53568.08497014034,51031.648229674276,0.0,2536.436740466062,7.275957614183426e-12
2025-06-25,0,0.0,0.11673889998928644,54448.91573587605,51592.94822162669,0.0,2855.9675142493606,0.0
2025-06-26,0,0.0,0.13758059998508543,54135.22686248802,51194.95104281148,0.0,2940.2758196765403,0.0
2025-06-27,0,0.0,0.16257600000244565,22628.332333999108,20983.955585076477,0.0,1644.376748922632,3.637978807091713e-12
2025-06-28,0,0.0,0.159187799989013,22290.90399439592,20747.949288703167,0.0,1542.9547056927568,0.0
2025-06-29,0,0.0,0.14643910000449978,53405.59893404028,50395.11788235803,0.0,3010.481051682252,0.0
2025-06-30,0,0.0,0.10274249999201857,53818.401705968296,50811.29886792187,0.0,3007.102838046433,7.275957614183426e-12
2025-07-01,0,0.0,0.13127630000235513,54020.52194488751,50966.47100439012,0.0,3054.050940497387,0.0
2025-07-02,0,0.0,0.11662120002438314,53197.67776091597,49712.7212291026,0.0,3484.956531813368,0.0
2025-07-03,0,0.0,0.09116300000459887,53396.156932839855,49299.368560206734,0.0,4096.788372633128,7.275957614183426e-12
2025-07-04,0,0.0,0.15508100000442937,24463.74938800242,22581.218950890092,0.0,1882.5304371123311,3.637978807091713e-12
2025-07-05,0,0.0,0.20073180002509616,25098.553708947213,23640.61882146831,0.0,1457.9348874789016,0.0
2025-07-06,0,0.0,0.193260600004578,53872.46233823381,50842.23580539536,0.0,3030.226532838455,0.0
2025-07-07,0,0.0,0.11593239998910576,54868.01241252375,51570.41250314568,0.0,3297.59990937807,0.0
2025-07-08,0,0.0,0.1037073000043165,58228.9873448349,54883.27273016455,0.0,3345.714614670349,7.275957614183426e-12
2025-07-09,0,0.0,0.12448159998166375,57121.59397247859,54472.46180483098,0.0,2649.1321676476023,1.4551915228366852e-11
2025-07-10,0,0.0,0.10967169998912141,57690.72673246372,55093.94572258182,0.0,2596.7810098818986,7.275957614183426e-12
2025-07-11,0,0.0,0.138553700002376,29284.294144287374,28009.598582210085,0.0,1274.695562077289,0.0
2025-07-12,0,0.0,0.13172050000866875,29390.59315601639,28131.65843886911,0.0,1258.9347171472793,0.0
2025-07-13,0,0.0,0.1428015000128653,58402.24943813153,55484.906492466485,0.0,2917.34294566504,0.0
2025-07-14,0,0.0,0.16671489999862388,57447.492707590405,54462.490946718935,0.0,2985.001760871469,0.0
2025-07-15,0,0.0,0.16623290002462454,60493.83806583383,57566.15917109538,0.0,2927.6788947384507,0.0
2025-07-16,0,0.0,0.11317979998420924,59889.11533335794,56977.83688732376,0.0,2911.278446034182,0.0
2025-07-17,0,0.0,0.15040809998754412,59899.223356656206,56911.67004704783,0.0,2987.5533096083795,7.275957614183426e-12
2025-07-18,0,0.0,0.1965624000004027,30608.66898460814,29335.1565640438,0.0,1273.5124205643394,0.0
2025-07-19,0,0.0,0.20696479998878203,30361.5336090698,29044.222362457236,0.0,1317.3112466125665,3.637978807091713e-12
2025-07-20,0,0.0,0.1289268000109587,58496.82455817381,55623.60239317814,0.0,2873.222164995664,7.275957614183426e-12
2025-07-21,0,0.0,0.11467050001374446,57766.61282637414,55313.91425006065,0.0,2452.698576313494,0.0
2025-07-22,0,0.0,0.12292289998731576,59400.453939916406,57211.812194309656,0.0,2188.6417456067456,7.275957614183426e-12
2025-07-23,0,0.0,0.12195749999955297,59170.65010815198,56820.8559527918,0.0,2349.7941553601863,0.0
2025-07-24,0,0.0,0.11139360000379384,59329.60156708009,56951.02380082755,0.0,2378.577766252534,7.275957614183426e-12
2025-07-25,0,0.0,0.20131489998311736,29076.349095157548,28078.91123157597,0.0,997.4378635815749,3.637978807091713e-12
2025-07-26,0,0.0,0.20649680000497028,29096.388177671928,28010.4650650421,0.0,1085.9231126298303,0.0
2025-07-27,0,0.0,0.10793820000253618,57495.79805183288,54981.65138108208,0.0,2514.146670750791,0.0
2025-07-28,0,0.0,0.10581789998104796,57672.99870303758,55287.40115080579,0.0,2385.5975522317967,7.275957614183426e-12
2025-07-29,0,0.0,0.13963560000411235,59311.77593342879,56987.24740665531,0.0,2324.5285267734826,0.0
2025-07-30,0,0.0,0.10152599998400547,59411.85014511027,57049.50633021327,0.0,2362.3438148969967,7.275957614183426e-12
2025-07-31,0,0.0,0.13642659998731688,58892.06722980939,56655.720920860374,0.0,2236.346308949012,7.275957614183426e-12
2025-08-01,0,0.0,0.17050550002022646,28011.305231490674,27070.641453213935,0.0,940.6637782767375,0.0
2025-08-02,0,0.0,0.16354489998775534,27998.876195123037,26993.752223042968,0.0,1005.1239720800704,0.0
2025-08-03,0,0.0,0.1203459000098519,56231.40439534279,53986.172253225355,0.0,2245.2321421174297,7.275957614183426e-12
2025-08-04,0,0.0,0.12136489999829791,54996.35954689008,52570.72812097637,0.0,2425.631425913718,7.275957614183426e-12
2025-08-05,0,0.0,0.09795440000016242,53333.42446547482,51113.45091987286,0.0,2219.973545601955,0.0
2025-08-06,0,0.0,0.12146760002360679,52274.907262058325,50209.11133679829,0.0,2065.7959252600317,0.0
2025-08-07,0,0.0,0.11767179999151267,51552.55563670776,49482.610152648675,0.0,2069.945484059081,0.0
2025-08-08,0,0.0,0.11483589999261312,25738.31223448706,24750.950312863904,0.0,987.3619216231533,3.637978807091713e-12
2025-08-09,0,0.0,0.22524510000948794,25679.579880500583,24733.041764403613,0.0,946.5381160969711,0.0
2025-08-10,0,0.0,0.11548899998888373,49568.44682092909,47580.67490918227,0.0,1987.771911746826,0.0
2025-08-11,0,0.0,0.1511297000106424,49769.249350103804,47861.65868960252,0.0,1907.59066050129,7.275957614183426e-12
2025-08-12,0,0.0,0.10417890001554042,48868.58932869896,46852.76458583158,0.0,2015.8247428673797,0.0
2025-08-13,0,0.0,0.15321489999769256,49349.77022315093,47521.5357620983,0.0,1828.2344610526238,7.275957614183426e-12
2025-08-14,0,0.0,0.11171789999934845,48991.662914015054,46940.40521442025,0.0,2051.2576995948107,7.275957614183426e-12
2025-08-15,0,0.0,0.09615189998294227,25195.98604275423,24308.533789341738,0.0,887.4522534124899,0.0
2025-08-16,0,0.0,0.1058531999879051,25228.380155589555,24428.133514152934,0.0,800.2466414366206,0.0
2025-08-17,0,0.0,0.12451580000924878,49591.36802581516,47579.96639284953,0.0,2011.401632965634,7.275957614183426e-12
2025-08-18,0,0.0,0.10691519998363219,49439.06512062038,47490.29784256335,0.0,1948.767278057027,0.0
2025-08-19,0,0.0,0.12519379999139346,49560.7827809817,47588.87953974765,0.0,1971.9032412340493,7.275957614183426e-12
2025-08-20,0,0.0,0.11492739999084733,49536.40906611714,47588.63093514795,0.0,1947.7781309691932,0.0
2025-08-21,0,0.0,0.15318670001579449,50296.49984740589,48407.84679515193,0.0,1888.6530522539676,7.275957614183426e-12
2025-08-22,0,0.0,0.12336019999929704,25460.02599465896,24617.710858699484,0.0,842.3151359594797,3.637978807091713e-12
2025-08-23,0,1.4167501821146409e-16,0.1499623999989126,25678.33661162243,24882.098844097065,0.0,796.2377675253683,3.637978807091713e-12
2025-08-24,0,0.0,0.11962759998277761,51507.979435278714,49745.185590951914,0.0,1762.793844326798,0.0
2025-08-25,0,0.0,0.11561400000937283,51593.249397258354,49890.60918547745,0.0,1702.640211780903,0.0
2025-08-26,0,0.0,0.10638810001546517,52295.22667640812,50437.771973090305,0.0,1857.454703317817,0.0
2025-08-27,0,0.0,0.11807390002650209,52435.872207659304,50383.166661241674,0.0,2052.705546417632,0.0
2025-08-28,0,0.0,0.14170139998896047,52166.708617395874,50103.443340868995,0.0,2063.2652765268804,0.0
2025-08-29,0,0.0,0.13117849998525344,26625.648797635582,25661.14458104998,0.0,964.5042165856017,0.0
2025-08-30,0,0.0,0.1736547000182327,26540.836272030854,25573.958542938086,0.0,966.8777290927698,0.0
2025-08-31,0,0.0,0.23607889999402687,53246.73482290718,50947.935147721495,0.0,2298.799675185682,0.0
2025-09-01,0,0.0,0.08714250000775792,53398.96138590951,51078.8086738073,0.0,2320.152712102202,7.275957614183426e-12
2025-09-02,0,0.0,0.12945350000518374,52568.28833310649,50227.892529978766,0.0,2340.395803127723,0.0
2025-09-03,0,0.0,0.15742750000208616,52365.06627375742,50017.61435664379,0.0,2347.4519171136267,0.0
2025-09-04,0,0.0,0.13733760002651252,51844.640278222985,49683.350452744584,0.0,2161.289825478395,7.275957614183426e-12
2025-09-05,0,0.0,0.1630777000100352,25983.50229101168,24970.715652418025,0.0,1012.786638593654,0.0
2025-09-06,0,0.0,0.1261862999817822,25748.554301445936,24757.978718633574,0.0,990.5755828123637,0.0
2025-09-07,0,0.0,0.16282960001262836,50394.03507586833,48045.76634960358,0.0,2348.268726264746,0.0
2025-09-08,0,0.0,0.11962840001797304,46533.944901871204,44042.92465991429,0.0,2491.0202419569146,7.275957614183426e-12
2025-09-09,0,0.0,0.16362819998175837,46706.75874136111,44153.97021885071,0.0,2552.7885225104123,7.275957614183426e-12
