slot,interval_label,price_yuan_per_kwh,load_kwh,pv_forecast_kwh,purchase_kwh,charge_kwh,discharge_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,cost_yuan
61,10:00-10:10,0.9919,982.9132166666667,1099.8968,0.0,116.98358333333329,0.0,0.0,1973.96606574074,2079.25129074074,0.0
73,12:00-12:10,0.4411,915.7984499999999,1268.7193333333332,480.41245000000004,833.3333333333334,0.0,0.0,6143.792100000002,6893.792100000002,211.909931695
85,14:00-14:10,1.0002,947.85485,1035.6693,0.0,87.81444999999997,0.0,0.0,10658.074995,10737.108,0.0
97,16:00-16:10,0.8271,945.1691000000001,499.73745,445.43165000000005,0.0,-0.0,0.0,10800.0,10800.0,368.416517715
109,18:00-18:10,1.2561,687.12685,45.96555,531.8940499999999,0.0,109.26725000000005,0.0,10800.0,10678.591944444444,668.1121162049999
121,20:00-20:10,1.3513,713.7040833333334,0.0,0.0,0.0,713.7040833333334,0.0,4377.631240740741,3584.626703703704,0.0
