variant,date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh
greedy_closed,2025-03-20,1,65783.69192458535,4181.242455045679,69964.93437963103,40328.56869637394,18688.83567017926,59017.40436655321,16374.808783102988,13568.436753524074,4949.600533385454,87,1,211.51531128571312,9,64.42328804761928,10547.152106408848,10208.439173952565
greedy_closed,2025-06-21,1,37489.51088497754,980.8488241904756,38470.35970916802,22167.17859715055,3794.9389585357117,25962.11755568626,14130.405045702671,11290.944008069808,16296.158271535152,34,1,0.0,0,543.0063293333328,7809.076942337273,7980.948141169896
greedy_closed,2025-09-23,1,62394.57482948525,5050.493996308689,67445.06882579395,41025.36669310949,25684.31271675144,66709.67940986094,14123.877713950258,11701.544908208993,2906.120436719342,86,1,1022.8630774761918,29,0.0,9552.602573611575,9262.375951490143
greedy_closed,2025-12-21,1,97412.2797243893,1627.1857696169554,99039.46549400626,62757.70348873133,9324.139671598981,72081.84316033032,21988.171726374538,17677.094792333704,5690.606693298753,41,1,24.055178333333288,1,486.43667104761886,9335.0769906,9483.21510841074
dp_fixed,2025-03-20,1,65783.69192458535,4181.242455045679,69964.93437963103,40328.56869637394,18688.83567017926,59017.40436655321,16374.808783102988,13568.436753524074,4949.600533385454,87,1,211.51531128571312,9,64.42328804761928,10547.152106408848,10208.439173952565
dp_fixed,2025-06-21,1,37489.51088497754,980.8488241904756,38470.35970916802,22167.17859715055,3794.9389585357117,25962.11755568626,14130.405045702671,11290.944008069808,16296.158271535152,34,1,0.0,0,543.0063293333328,7809.076942337273,7980.948141169896
dp_fixed,2025-09-23,1,62394.57482948525,5050.493996308689,67445.06882579395,41025.36669310949,25684.31271675144,66709.67940986094,14123.877713950258,11701.544908208993,2906.120436719342,86,1,1022.8630774761918,29,0.0,9552.602573611575,9262.375951490143
dp_fixed,2025-12-21,1,97412.2797243893,1635.9133660931452,99048.19309048244,62757.70348873133,8829.202679391605,71586.90616812294,21988.171726374538,17604.23441566704,5626.473913108277,42,1,24.055178333333288,1,378.6731280000001,9335.0769906,9564.171082484814
dp_closed,2025-03-20,1,65783.69192458535,4181.242455045679,69964.93437963103,40328.56869637394,18688.83567017926,59017.40436655321,16374.808783102988,13568.436753524074,4949.600533385454,87,1,211.51531128571312,9,64.42328804761928,10547.152106408848,10208.439173952565
dp_closed,2025-06-21,1,37489.51088497754,980.8488241904756,38470.35970916802,22167.17859715055,3794.9389585357117,25962.11755568626,14130.405045702671,11290.944008069808,16296.158271535152,34,1,0.0,0,543.0063293333328,7809.076942337273,7980.948141169896
dp_closed,2025-09-23,1,62394.57482948525,5050.493996308689,67445.06882579395,41025.36669310949,25684.31271675144,66709.67940986094,14123.877713950258,11701.544908208993,2906.120436719342,86,1,1022.8630774761918,29,0.0,9552.602573611575,9262.375951490143
dp_closed,2025-12-21,1,97412.2797243893,1635.9133660931452,99048.19309048244,62757.70348873133,8829.202679391605,71586.90616812294,21988.171726374538,17604.23441566704,5626.473913108277,42,1,24.055178333333288,1,378.6731280000001,9335.0769906,9564.171082484814
