variant,paper_total_yuan,reproduced_total_yuan,difference_yuan
greedy_closed,14174236.1,18484051.356801752,4309815.256801752
dp_fixed,14022321.93,18358033.44549164,4335711.515491642
dp_closed,14022279.33,18362675.30940048,4340395.97940048
