date,variant,initial_soc_kwh,rho,objective,seconds,recovery_error,emergency_charging_slots
2025-02-01,greedy_closed,6000.0,0.9729222695628021,29265.990905180322,0.35668860003352165,7.275957614183426e-12,83
2025-02-01,dp_closed,6000.0,0.9729222695628021,29265.990905180322,0.3630121999885887,7.275957614183426e-12,83
2025-02-02,greedy_closed,7910.619756181898,0.9734740196876224,64529.42723440485,0.4814676999812946,3.637978807091713e-11,94
2025-02-02,dp_closed,7910.619756181898,0.9734740196876224,64529.42723440485,0.4843195000430569,3.637978807091713e-11,94
2025-02-03,greedy_closed,7529.5413418018115,0.9656111461030065,64125.73260096652,0.556602299970109,6.548361852765083e-11,96
2025-02-03,dp_closed,7529.5413418018115,0.9656111461030065,64125.73260096652,0.5645159999839962,6.548361852765083e-11,96
2025-02-04,greedy_closed,6581.95760752425,0.9592246375854695,64515.78005488847,0.754336100013461,2.1827872842550278e-11,100
2025-02-04,dp_closed,6581.95760752425,0.9592246375854695,64515.78005488847,0.7508523999713361,2.1827872842550278e-11,100
2025-02-05,greedy_closed,6353.710177460814,0.9554713090755867,63135.69398160955,0.7488825999898836,2.1827872842550278e-11,103
2025-02-05,dp_closed,6353.710177460814,0.9554713090755867,63135.69398160955,0.7596652000211179,2.1827872842550278e-11,103
2025-02-06,greedy_closed,6352.71142036076,0.9525459484633293,62577.810662558084,0.6173722000094131,5.820766091346741e-11,120
2025-02-06,dp_closed,6352.71142036076,0.9525459484633293,62577.810662558084,0.5903633999987505,5.820766091346741e-11,120
2025-02-07,greedy_closed,6383.047952664022,0.9492635999714211,25044.8500981092,0.6697902000159957,0.0,84
2025-02-07,dp_closed,6383.047952664022,0.9492635999714211,25044.8500981092,0.6223364999750629,0.0,84
2025-02-08,greedy_closed,5761.7701244448435,0.9492478197843063,23776.317007053785,0.5264523000223562,2.1827872842550278e-11,70
2025-02-08,dp_closed,5761.7701244448435,0.9492478197843063,23776.317007053785,0.5325178000493906,2.1827872842550278e-11,70
2025-02-09,greedy_closed,6002.649322139508,0.9476778440050606,56729.75631423039,0.9794357999926433,2.9103830456733704e-11,85
2025-02-09,dp_closed,6002.649322139508,0.9476778440050606,56729.75631423039,0.9838740999693982,2.9103830456733704e-11,85
2025-02-10,greedy_closed,6662.311092335714,0.92904280709686,56597.03032008247,0.9458646000130102,2.1827872842550278e-11,82
2025-02-10,dp_closed,6662.311092335714,0.92904280709686,56597.03032008247,0.9464324000291526,2.1827872842550278e-11,82
2025-02-11,greedy_closed,6856.965199622536,0.8879327283537991,55856.22547328466,1.030576099990867,7.275957614183426e-11,82
2025-02-11,dp_closed,6856.965199622536,0.8879327283537991,55856.22547328466,1.031119999999646,7.275957614183426e-11,82
2025-02-12,greedy_closed,10468.613523971233,0.8808306704270775,51959.73167548474,0.9143729999777861,7.275957614183426e-12,51
2025-02-12,dp_closed,10468.613523971233,0.8808306704270775,51959.73167548474,0.9069780999561772,7.275957614183426e-12,51
2025-02-13,greedy_closed,10625.496452823629,0.8793676873732122,50242.58760430137,1.0327663000207394,2.9103830456733704e-11,61
2025-02-13,dp_closed,10625.496452823629,0.8793676873732122,50242.58760430137,1.0372093999758363,2.9103830456733704e-11,61
2025-02-14,greedy_closed,10713.28508712174,0.8801166393771912,14704.773309996544,0.35777850000886247,0.0,0
2025-02-14,dp_closed,10713.28508712174,0.8801166393771912,14704.773309996544,0.35923910001292825,0.0,0
2025-02-15,greedy_closed,10800.0,0.8834674090696549,14344.603660032499,0.33482320001348853,0.0,0
2025-02-15,dp_closed,10800.0,0.8834674090696549,14344.603660032499,0.3317897000233643,0.0,0
2025-02-16,greedy_closed,10732.988902331703,0.8858344854420716,46097.3091230381,0.801622300001327,5.820766091346741e-11,65
2025-02-16,dp_closed,10732.988902331703,0.8858344854420716,46097.3091230381,0.8020471999770962,5.820766091346741e-11,65
2025-02-17,greedy_closed,10489.325965618938,0.8879621861637691,45874.57664921239,0.9539202000014484,7.275957614183426e-12,65
2025-02-17,dp_closed,10489.325965618938,0.8879621861637691,45874.57664921239,0.959866699995473,7.275957614183426e-12,65
2025-02-18,greedy_closed,10407.057620527925,0.8920973334551819,45428.382891394445,0.9764833999797702,2.1827872842550278e-11,63
2025-02-18,dp_closed,10407.057620527925,0.8920973334551819,45428.382891394445,0.9689769999822602,2.1827872842550278e-11,63
2025-02-19,greedy_closed,10676.142740913772,0.894945686159216,44925.616614915976,0.9243415000382811,2.1827872842550278e-11,71
2025-02-19,dp_closed,10676.142740913772,0.894945686159216,44925.616614915976,0.9262448999797925,2.1827872842550278e-11,71
2025-02-20,greedy_closed,10292.5407200535,0.8963587041292511,44714.9713746819,1.2178268000134267,2.9103830456733704e-11,68
2025-02-20,dp_closed,10292.5407200535,0.8963587041292511,44714.9713746819,1.1969198999577202,2.9103830456733704e-11,68
2025-02-21,greedy_closed,10600.62036719201,0.8942015792244982,13435.581143545965,0.29318089998560026,1.8189894035458565e-12,0
2025-02-21,dp_closed,10600.62036719201,0.8942015792244982,13435.581143545965,0.2939068000414409,1.8189894035458565e-12,0
2025-02-22,greedy_closed,10714.382309584305,0.8944099779050245,13114.63690414101,0.3145087000448257,1.0913936421275139e-11,0
2025-02-22,dp_closed,10714.382309584305,0.8944099779050245,13114.63690414101,0.3064401999581605,1.0913936421275139e-11,0
2025-02-23,greedy_closed,10699.351282047755,0.8938181431352774,42702.87126812651,0.9383070000330918,2.1827872842550278e-11,54
2025-02-23,dp_closed,10699.351282047755,0.8938181431352774,42702.87126812651,0.9280274000484496,2.1827872842550278e-11,54
2025-02-24,greedy_closed,10356.289552184782,0.8927049148162808,42406.07276863791,0.9163361000246368,2.1827872842550278e-11,59
2025-02-24,dp_closed,10356.289552184782,0.8927049148162808,42406.07276863791,0.9240359999821521,2.1827872842550278e-11,59
2025-02-25,greedy_closed,10389.868691316402,0.8917163069389401,42024.26048547333,0.7567726999986917,1.4551915228366852e-11,57
2025-02-25,dp_closed,10389.868691316402,0.8917163069389401,42024.26048547333,0.7623574000317603,1.4551915228366852e-11,57
2025-02-26,greedy_closed,10270.70193740794,0.8979133060787573,41333.59419968407,0.8193352000089362,7.275957614183426e-12,50
