date,phase,horizon_hours,horizon_objective_yuan,horizon_planned_cost_yuan,first_day_planned_cost_yuan,horizon_final_soc_kwh,first_day_end_soc_kwh,seconds,objective_error
2025-02-01,evaluation,72,141189.96184125135,137362.1444768911,24591.965483781973,1200.0000000000073,8550.000000000004,0.0517746000259649,3.7834979593753815e-10
2025-02-02,evaluation,72,175332.32872335048,171118.09601486963,58570.63774078399,1199.9999999999936,8550.0,0.055082499980926514,1.4551915228366852e-10
2025-02-03,evaluation,72,173418.6239970098,169120.47443644964,57986.313051731566,1199.9999999999955,8550.0,0.05309199998737313,2.9103830456733704e-11
2025-02-04,evaluation,72,172671.97526363056,168287.30786769715,57783.632132512525,1199.9999999999964,8550.0,0.05539269998553209,2.9103830456733704e-11
2025-02-05,evaluation,72,137697.59316507832,133677.6308586037,57306.15201566767,1199.999999999999,8550.0,0.05589250000775792,2.9103830456733704e-11
2025-02-06,evaluation,72,103190.87035079475,99493.97927171411,57595.69991169391,1200.0000000000036,8550.0,0.07347239999216981,1.6007106751203537e-10
2025-02-07,evaluation,72,101260.26289088358,97676.12089277236,23340.50767239619,1199.9999999999964,8550.0,0.059036599996034056,1.4551915228366852e-11
2025-02-08,evaluation,72,133320.68544053586,129444.92393800034,22355.471253025302,1199.9999999999936,8550.0,0.06338189999223687,2.9103830456733704e-11
2025-02-09,evaluation,72,165935.94928524928,161692.49224454834,55301.70675164712,1199.9999999999964,8550.0,0.05849070000112988,2.0372681319713593e-10
2025-02-10,evaluation,72,165938.10112072047,161693.7744665779,55580.92614525222,1199.9999999999936,8549.999999999998,0.06944230000954121,2.9103830456733704e-11
2025-02-11,evaluation,72,164032.11436161786,159786.17367044574,54772.279289379774,1199.9999999999936,8550.000000000002,0.05426349997287616,8.731149137020111e-11
2025-02-12,evaluation,72,127958.63228722363,124097.9358929467,53956.48806303863,1199.9999999999927,8550.000000000004,0.05223549998481758,3.2014213502407074e-10
2025-02-13,evaluation,72,92310.21102609616,88978.07318217942,53202.74900599842,1200.0000000000027,7950.0,0.05615160000161268,3.346940502524376e-10
2025-02-14,evaluation,72,88785.33032354244,85712.74271557282,19478.77654708056,1200.0000000000055,7926.4642793214225,0.04819820000557229,0.0
2025-02-15,evaluation,72,119725.11415461106,116104.2869356765,19307.505908827785,1199.9999999999982,8550.0,0.053935800009639934,5.820766091346741e-11
2025-02-16,evaluation,72,150480.59889823565,146179.0562549724,50258.96046368697,1200.0,8550.000000000007,0.05391519999830052,6.984919309616089e-10
2025-02-17,evaluation,72,149443.27713918613,145153.83642465266,49694.011852280884,1199.9999999999982,8549.999999999998,0.05469819999416359,4.0745362639427185e-10
