date,variant,slot,reserve_kwh,max_path_segments
2025-02-01,dp_fixed,1,2323.899377791002,42
2025-02-01,dp_fixed,2,3073.899377791002,42
2025-02-01,dp_fixed,3,3823.899377791002,42
2025-02-01,dp_fixed,4,4462.546581044964,42
2025-02-01,dp_fixed,5,5204.383211397699,42
2025-02-01,dp_fixed,6,5275.4414167592495,42
2025-02-01,dp_fixed,7,5335.58497675925,42
2025-02-01,dp_fixed,8,5392.348747111984,42
2025-02-01,dp_fixed,9,5473.84796722221,42
2025-02-01,dp_fixed,10,5541.862765079353,42
2025-02-01,dp_fixed,11,5583.7379429364955,42
2025-02-01,dp_fixed,12,5644.339402473536,42
2025-02-01,dp_fixed,13,5727.851829907395,42
2025-02-01,dp_fixed,14,5806.109708835967,42
2025-02-01,dp_fixed,15,5875.876421715157,42
2025-02-01,dp_fixed,16,5923.895332936496,42
2025-02-01,dp_fixed,17,5973.40505722221,42
2025-02-01,dp_fixed,18,5996.145343902107,42
2025-02-01,dp_fixed,19,6045.274054232798,42
2025-02-01,dp_fixed,20,6091.266667394175,42
2025-02-01,dp_fixed,21,6162.216868505287,42
2025-02-01,dp_fixed,22,6241.237661362429,42
2025-02-01,dp_fixed,23,6324.355217144179,42
2025-02-01,dp_fixed,24,6405.043085023366,42
2025-02-01,dp_fixed,25,6492.945991715607,42
2025-02-01,dp_fixed,26,6531.383584773366,42
2025-02-01,dp_fixed,27,6532.651610478833,42
2025-02-01,dp_fixed,28,6592.318515218253,42
2025-02-01,dp_fixed,29,6686.801892037036,42
2025-02-01,dp_fixed,30,6767.0125034788325,42
2025-02-01,dp_fixed,31,6850.659644537036,42
2025-02-01,dp_fixed,32,6899.185332389769,42
2025-02-01,dp_fixed,33,6977.081592896823,42
2025-02-01,dp_fixed,34,7778.700408756611,42
2025-02-01,dp_fixed,35,7500.97686806878,42
2025-02-01,dp_fixed,36,3268.6665775484994,42
2025-02-01,dp_fixed,37,2835.0887460317463,42
2025-02-01,dp_fixed,38,3121.1447513227504,42
2025-02-01,dp_fixed,39,2807.4718280423276,42
2025-02-01,dp_fixed,40,2474.489034171076,42
2025-02-01,dp_fixed,41,2513.0677167928816,42
2025-02-01,dp_fixed,42,2567.1851363068763,42
2025-02-01,dp_fixed,43,2256.4821804828025,42
2025-02-01,dp_fixed,44,2388.6574499047606,42
2025-02-01,dp_fixed,45,2617.7180809259257,42
2025-02-01,dp_fixed,46,2811.286722083333,42
2025-02-01,dp_fixed,47,2237.011431878306,42
2025-02-01,dp_fixed,48,1200.0,42
2025-02-01,dp_fixed,49,1200.0,42
2025-02-01,dp_fixed,50,1200.0,42
2025-02-01,dp_fixed,51,1200.0,42
2025-02-01,dp_fixed,52,1200.0,42
2025-02-01,dp_fixed,53,1200.0,42
2025-02-01,dp_fixed,54,1200.0,42
2025-02-01,dp_fixed,55,1200.0,42
2025-02-01,dp_fixed,56,1200.0,42
2025-02-01,dp_fixed,57,1200.0,42
