date,variant,initial_soc_kwh,rho,objective,seconds,recovery_error,emergency_charging_slots
2025-02-01,greedy_closed,6000.0,0.9729222695628021,29265.990905180322,0.3968550999998115,7.275957614183426e-12,83
2025-02-01,dp_closed,6000.0,0.9729222695628021,29265.990905180322,0.38931710002361797,7.275957614183426e-12,83
2025-02-01,mpc_closed,6000.0,0.9729222695628021,29265.990905180322,0.3998896999983117,7.275957614183426e-12,83
2025-02-02,greedy_closed,6396.655447081459,0.9734740196876224,65247.80242090999,0.46202109998557717,7.275957614183426e-12,100
2025-02-02,dp_closed,6396.655447081459,0.9734740196876224,65247.80242090999,0.44925969999167137,7.275957614183426e-12,100
2025-02-02,mpc_closed,6396.655447081459,0.9734740196876224,65247.80242090999,0.46031560000847094,7.275957614183426e-12,100
2025-02-03,greedy_closed,6568.791891287479,0.9656111461030065,64581.63646811853,0.5569910999911372,1.0186340659856796e-10,100
2025-02-03,dp_closed,6568.791891287479,0.9656111461030065,64581.63646811853,0.548671500000637,1.0186340659856796e-10,100
2025-02-03,mpc_closed,6568.791891287479,0.9656111461030065,64581.63646811853,0.5577320999873336,1.0186340659856796e-10,100
2025-02-04,greedy_closed,6883.1906105414555,0.9592246375854695,64372.81736930821,0.45533029999933206,4.3655745685100555e-11,98
2025-02-04,dp_closed,6883.1906105414555,0.9592246375854695,64372.81736930821,0.4696754999749828,4.3655745685100555e-11,98
2025-02-04,mpc_closed,6883.1906105414555,0.9592246375854695,64372.81736930821,0.4512875000073109,4.3655745685100555e-11,98
2025-02-05,greedy_closed,6976.2168792989405,0.9554713090755867,62840.24922897619,0.435187200026121,2.1827872842550278e-11,101
2025-02-05,dp_closed,6976.2168792989405,0.9554713090755867,62840.24922897619,0.41887539997696877,2.1827872842550278e-11,101
2025-02-05,mpc_closed,6976.2168792989405,0.9554713090755867,62840.24922897619,0.4247558999923058,2.1827872842550278e-11,101
2025-02-06,greedy_closed,6833.951139638766,0.9525459484633293,62349.382209140786,0.3274397999921348,5.820766091346741e-11,120
2025-02-06,dp_closed,6833.951139638766,0.9525459484633293,62349.382209140786,0.3284687999985181,5.820766091346741e-11,120
2025-02-06,mpc_closed,6833.951139638766,0.9525459484633293,62349.382209140786,0.32614409999223426,5.820766091346741e-11,120
2025-02-07,greedy_closed,6786.414986914027,0.9492635999714211,24853.390247215055,0.34417510000639595,3.637978807091713e-12,84
2025-02-07,dp_closed,6786.414986914027,0.9492635999714211,24853.390247215055,0.34513100000913255,3.637978807091713e-12,84
2025-02-07,mpc_closed,6786.414986914027,0.9492635999714211,24853.390247215055,0.34642600000370294,3.637978807091713e-12,84
2025-02-08,greedy_closed,5692.038905761904,0.9492478197843063,23809.457290984967,0.4200721000088379,1.4551915228366852e-11,70
2025-02-08,dp_closed,5692.038905761904,0.9492478197843063,23809.457290984967,0.4210204999835696,1.4551915228366852e-11,70
2025-02-08,mpc_closed,5692.038905761904,0.9492478197843063,23809.457290984967,0.41989779999130405,1.4551915228366852e-11,70
