variant,paper_total_yuan,reproduced_total_yuan,difference_yuan
greedy_closed,14174236.1,14168713.467597146,-5522.63240285404
dp_fixed,14022321.93,14018627.409926927,-3694.520073072985
dp_closed,14022279.33,14018584.814638248,-3694.515361752361
