candidate_id,threshold_kwh,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh
0,0.0,17,1407765.7552687146,24050.719203509918,1431816.4744722245,869018.8055555775,73374.7290406738,942393.5345962513,405399.37704579235,328373.4954070918,109988.26361685731,638,17,19912.74250224895,371,22333.365733163726,6000.0,6000.0
1,200.0,17,1407765.7552687146,25436.66724390625,1433202.422512621,869018.8055555775,74333.38255438955,943352.188109967,402545.98727992293,326062.24969673756,111916.35571276883,551,17,19571.7740370739,215,22568.126619558236,6000.0,6000.0
2,400.0,17,1407765.7552687146,29177.452453337708,1436943.2077220522,869018.8055555775,83790.80523268932,952809.6107882669,400921.0352799627,324746.03857676976,115965.88180219273,560,17,22297.283981754932,207,22221.794793662197,6000.0,6000.0
3,800.0,17,1407765.7552687146,33467.61629998058,1441233.3715686952,869018.8055555775,97123.6353920678,966142.4409476453,397466.1454384218,321947.57780512166,120912.47471872838,603,17,24991.94353237207,214,21020.166225909255,6000.0,6000.000000000001
4,1200.0,17,1407765.7552687146,68507.11019118609,1476272.8654599008,869018.8055555775,175149.5386421361,1044168.3441977135,396795.92779142,321404.7015110502,156079.3099628642,912,17,60405.278836245256,583,20870.892006251714,6000.0,6000.000000000001
