date,variant,control_issue_time,last_observation_end,initial_soc_kwh,innovation_kwh,objective_yuan,lower_bound_yuan,recovery_error,used_reference,reference_gap,removed_simultaneous_kwh,seconds
2025-02-01,C1,2025-02-01T00:00,,5999.999999999998,0.0,1122.7340443470468,1122.734044347048,1.1368683772161603e-12,1,-1.1368683772161603e-12,0.0,0.01751390000572428
2025-02-01,C1,2025-02-01T01:00,2025-02-01T01:00,9749.999999999998,-87.85854788674686,1059.317692677858,1059.3176926778574,6.821210263296962e-13,0,7.515834490416182,0.0,0.016281000018352643
2025-02-01,C1,2025-02-01T02:00,2025-02-01T02:00,10073.47264068194,-104.74824158313987,1021.2452201176745,1021.2452201176733,1.2505552149377763e-12,0,14.047114137051153,0.0,0.015307199995731935
2025-02-01,C1,2025-02-01T03:00,2025-02-01T03:00,10134.240193488085,-42.821059246689,987.9407451399678,987.9407451399671,6.821210263296962e-13,0,4.881497493391521,0.0,0.014408000017283484
2025-02-01,C1,2025-02-01T04:00,2025-02-01T04:00,10115.997369006092,-54.40449417783117,970.7300888936137,970.7300888936126,1.1368683772161603e-12,0,3.422445528835283,0.0,0.014504399994621053
2025-02-01,C1,2025-02-01T05:00,2025-02-01T05:00,10101.626818696945,-31.689920948245003,962.6999269795001,962.6999269794993,7.958078640513122e-13,0,0.3626593209072553,0.0,0.013827000017045066
2025-02-01,C1,2025-02-01T06:00,2025-02-01T06:00,10170.776188088723,-29.91450937621221,932.6383966616955,932.6383966616946,9.094947017729282e-13,0,8.509326812711151,0.0,0.013034900010097772
2025-02-01,C1,2025-02-01T07:00,2025-02-01T07:00,6262.133254774016,-44.0431849331012,894.2744660514835,894.2744660514822,1.2505552149377763e-12,0,12.517610758777664,0.0,0.011859899997944012
2025-02-01,C1,2025-02-01T08:00,2025-02-01T08:00,3228.8866769098054,11.702966040251454,878.1954904019177,878.195490381613,2.0304696590756066e-08,0,6.43450310833191,-9.197186222485873e-12,0.011591199989197776
2025-02-01,C1,2025-02-01T09:00,2025-02-01T09:00,2042.2787945459168,40.92900277985311,843.4354482937447,843.4354482934268,3.178683982696384e-10,0,12.778552301720879,-2.308022415162567e-09,0.010888599994359538
2025-02-01,C1,2025-02-01T10:00,2025-02-01T10:00,2015.892306607585,-37.11092463415744,780.9674205388185,780.9674205388185,0.0,0,6.468500007908347,0.0,0.00977559998864308
2025-02-01,C1,2025-02-01T11:00,2025-02-01T11:00,3241.759319773013,-70.43759916710673,727.1963230715403,727.1963230715403,0.0,0,7.476012527447779,0.0,0.009387700003571808
2025-02-01,C1,2025-02-01T12:00,2025-02-01T12:00,5725.707248032299,-66.20098882371929,671.2430226809959,671.2430226809954,4.547473508864641e-13,0,0.42744687224842437,0.0,0.00851640000473708
2025-02-01,C1,2025-02-01T13:00,2025-02-01T13:00,9184.794003762616,-79.3387605286133,554.8665108812744,554.8665108812737,6.821210263296962e-13,0,7.801444410187628,0.0,0.00818869998329319
2025-02-01,C1,2025-02-01T14:00,2025-02-01T14:00,10478.03230816957,26.119859177183514,493.45299492455985,493.4529949245558,4.035882739117369e-12,0,0.10153521598067528,0.0,0.008312400022987276
2025-02-01,C1,2025-02-01T15:00,2025-02-01T15:00,10800.0,3.2934736962114926,450.80438605254443,450.8043855480549,5.044895488026668e-07,1,5.044895488026668e-07,0.0,0.007542600011220202
2025-02-01,C1,2025-02-01T16:00,2025-02-01T16:00,10800.0,-22.951018267876975,385.87296563964526,385.872965639645,2.8421709430404007e-13,0,0.14011923059888431,0.0,0.006142500002169982
2025-02-01,C1,2025-02-01T17:00,2025-02-01T17:00,10800.0,-10.98985667298706,342.06072917134713,342.0607291713462,9.094947017729282e-13,0,0.14178726035635236,0.0,0.005553800001507625
2025-02-01,C1,2025-02-01T18:00,2025-02-01T18:00,10269.685965628596,-28.00965943222002,258.29766723454406,258.29766723454384,2.2737367544323206e-13,0,13.056650999316844,0.0,0.004847899981541559
2025-02-01,C1,2025-02-01T19:00,2025-02-01T19:00,7004.870706052265,-37.038934740915465,177.30505623024533,177.30505623024507,2.5579538487363607e-13,0,18.93717711382945,0.0,0.004866599978413433
2025-02-01,C1,2025-02-01T20:00,2025-02-01T20:00,3847.8944086400898,-55.31882761786642,101.14567768618615,101.14567768618622,7.105427357601002e-14,0,22.24210576347005,0.0,0.0037001000018790364
2025-02-01,C1,2025-02-01T21:00,2025-02-01T21:00,1246.2244637993656,-52.64573836856016,61.88944169147235,61.88944169147237,2.1316282072803006e-14,0,3.252051088723988,0.0,0.0032016000186558813
2025-02-01,C1,2025-02-01T22:00,2025-02-01T22:00,1972.7948768113195,-29.91286846696005,31.13937468438941,31.13937468438934,6.750155989720952e-14,0,0.4076152443636687,0.0,0.0025110999995376915
2025-02-01,C1,2025-02-01T23:00,2025-02-01T23:00,4954.5278622268825,44.76147826318186,41.22577147943128,41.22577147943129,7.105427357601002e-15,0,8.756258816670389,0.0,0.0021943000028841197
2025-02-02,C1,2025-02-02T00:00,,5970.91169716911,0.0,1499.534381116122,1499.5343811161213,6.821210263296962e-13,0,,0.0,0.016197900025872514
2025-02-02,C1,2025-02-02T01:00,2025-02-02T01:00,9726.856909497877,-27.961740506076353,1452.1498526070698,1452.1498526070666,3.183231456205249e-12,0,1.846519420165805,0.0,0.015305399982025847
2025-02-02,C1,2025-02-02T02:00,2025-02-02T02:00,10049.803393824568,4.750236694076989,1426.2476628688285,1426.2476628438055,2.5022927729878575e-08,0,0.20709725004689972,-1.4115335034148302e-07,0.01486039999872446
2025-02-02,C1,2025-02-02T03:00,2025-02-02T03:00,10048.639826627255,31.660747757992,1407.9846897736024,1407.9846897632783,1.0324129107175395e-08,0,1.8148677668086748,-5.8973000705009326e-08,0.014782500016735867
2025-02-02,C1,2025-02-02T04:00,2025-02-02T04:00,10046.458737688,-44.152197447058484,1355.340021683565,1355.3400216835655,4.547473508864641e-13,0,5.7177908670453235,0.0,0.013585900014732033
2025-02-02,C1,2025-02-02T05:00,2025-02-02T05:00,10069.334981108057,12.392838719380393,1341.7922988083722,1341.7922988081377,2.3442225938197225e-10,0,1.8422157022566807,-3.6075675780011807e-10,0.012807999999495223
2025-02-02,C1,2025-02-02T06:00,2025-02-02T06:00,10800.0,-35.46850054986294,1287.4009983047058,1287.400998304706,2.2737367544323206e-13,0,5.443890663834281,0.0,0.011946999991778284
2025-02-02,C1,2025-02-02T07:00,2025-02-02T07:00,10050.0,-86.15842688222983,1219.649040663623,1219.649040663623,0.0,0,10.108075028947496,0.0,0.010891100013395771
2025-02-02,C1,2025-02-02T08:00,2025-02-02T08:00,9874.074074074075,-67.93473074316,1141.982216873593,1141.9822168735923,6.821210263296962e-13,0,15.982368109684785,0.0,0.010640599997714162
2025-02-02,C1,2025-02-02T09:00,2025-02-02T09:00,5140.3194602128615,-19.98561266867523,1072.7783685548422,1072.7783685548425,2.2737367544323206e-13,0,4.691245967700979,0.0,0.009824700013268739
