month,v1_total_cost_yuan,v2a_total_cost_yuan,savings_yuan,v1_emergency_cost_yuan,v2a_emergency_cost_yuan,v1_net_bias_kw,v2a_net_bias_kw,v1_net_mae_kw,v2a_net_mae_kw
2025-02,1257253.9268068515,1257253.9268068515,0.0,67767.07065247782,67767.07065247782,-174.87252656388037,-174.87252656388037,228.26984569749587,228.26984569749587
2025-03,1234699.0168952479,1234699.0168952479,0.0,167471.3095078975,167471.3095078975,-116.0985744518425,-116.0985744518425,246.12816456031908,246.12816456031908
2025-04,1102386.612354747,1102386.612354747,0.0,240801.17477430656,240801.17477430656,-40.82699440750068,-40.82699440750068,231.15049156258027,231.15049156258027
2025-05,1280829.7167859909,1280829.7167859909,0.0,452778.5938069219,452778.5938069219,56.65887124576702,56.65887124576702,270.46452177875443,270.46452177875443
2025-06,1826096.2915578592,1826096.2915578592,0.0,759168.3872281938,759168.3872281938,187.98433004999893,187.98433004999893,371.6396541724005,371.6396541724005
2025-07,1964307.1624555406,1964307.1624555406,0.0,738445.6885862874,738445.6885862874,206.98039058510759,206.98039058510759,359.05987975138197,359.05987975138197
2025-08,1451962.988321962,1451962.988321962,0.0,260245.43560974213,260245.43560974213,-98.90492207183509,-98.90492207183509,288.06726814485677,288.06726814485677
2025-09,1284127.8718307866,1284127.8718307866,0.0,178574.15550952108,178574.15550952108,-230.1566694673143,-230.1566694673143,379.2069054893526,379.2069054893526
2025-10,1310531.8040795021,1310531.8040795021,0.0,264421.68352489785,264421.68352489785,-28.76220110973811,-28.76220110973811,234.78988136801462,234.78988136801462
2025-11,1458794.6594629579,1458794.6594629579,0.0,306081.7469528046,306081.7469528046,65.29553822243886,65.29553822243886,170.63718435037273,170.63718435037273
2025-12,1986606.5986143397,1986606.5986143397,0.0,505906.7264264358,505906.7264264358,141.4541714690688,141.4541714690688,224.94187006180988,224.94187006180988
