variant,paper_total_yuan,reproduced_total_yuan,difference_yuan
greedy_closed,14174236.1,17362064.05079472,3187827.950794721
dp_fixed,14022321.93,16881445.86992434,2859123.9399243407
dp_closed,14022279.33,16882255.190196037,2859975.860196037
