date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh,v1_total_cost_yuan,savings_vs_v1_yuan
2025-06-28,1.0,37038.23822690768,369.27652137123306,37407.51474827891,20957.360045367896,1274.5940188349268,22231.954064202822,19000.0,15389.999999999996,12020.588631612241,15.0,1.0,176.0947194142085,6.0,1462.6439272009468,8700.0,8700.0,24319.729715299654,2087.775651096832
2025-06-29,1.0,80812.80537726873,1022.4410383828698,81835.24641565159,50386.76788235803,3129.2666387034424,53516.03452106147,22927.65765769097,18571.402702729683,8211.222927356983,27.0,1.0,560.8430514062001,9.0,3717.260211835203,8700.0,8700.0,55215.003048061066,1698.968526999597
2025-06-30,1.0,81374.46838315079,869.922132301244,82244.39051545203,50802.94886792186,3479.5942103369557,54282.54307825882,22747.92150708784,18425.81642074115,8044.601445772004,21.0,1.0,11.919397577689097,2.0,3069.4427880717403,8700.0,8700.0,56436.68123747125,2154.1381592124308
2025-07-01,1.0,81689.74002553422,5462.043325088828,87151.78335062305,50958.121004390116,18349.37754426516,69307.49854865528,22794.638440088773,18463.657136471902,3954.2580136728548,86.0,1.0,1095.697693608183,17.0,1999.3185550081782,8700.0,8700.0,78935.55091471347,9628.052366058197
2025-07-02,1.0,73056.66742540328,5153.361415262345,78210.02884066563,46745.4212291026,17666.86289929502,64412.28412839762,15378.090557767942,18126.25335179203,8053.42526802305,81.0,1.0,373.765601310323,5.0,4515.867793526406,8700.0,2400.000000000002,75291.50996092777,10879.225832530145
2025-07-03,1.0,79164.68271801175,6637.440419102136,85802.12313711389,49330.718560206726,24173.36810554877,73504.0866657555,22270.090790819264,18038.773540563605,1810.3869535248994,107.0,1.0,1559.654889125445,22.0,1215.7254929605378,2400.000000000002,2399.9999999999986,92648.21387548003,19144.127209724524
2025-07-04,1.0,45774.27611909709,3002.3139804165967,48776.59009951369,25328.69918392929,11365.987608313688,36694.68679224298,20348.69865539604,10812.445910870794,10359.469888321772,76.0,1.0,440.94527790310815,11.0,522.908077367323,2399.9999999999986,8700.0,57778.45135900997,21083.764566766986
2025-07-05,1.0,41662.367936492585,2165.715877513018,43828.0838140056,23848.207619064553,8755.730858292542,32603.938477357093,19000.0,15389.999999999998,11428.003847338938,56.0,1.0,159.9768963867424,6.0,576.4932847038141,8700.0,8700.0,58144.230810318135,25540.292332961042
2025-07-06,1.0,81871.21950660317,5096.434848374783,86967.65435497796,50833.88580539536,22079.793650254196,72913.67945564956,22053.5409680283,17863.368184102925,2983.500021052583,84.0,1.0,1308.102255131311,17.0,947.2567386554612,8700.0,8700.0,104653.89435606592,31740.214900416366
2025-07-07,1.0,82686.63712048282,1188.3708696379204,83875.00799012074,51562.06250314568,3819.406663520438,55381.46916666612,22431.39331426595,18169.428584555422,6203.560493743542,45.0,1.0,338.50612675257935,10.0,3184.3024828840257,8700.0,8700.0,80347.77878513026,24966.30961846414
2025-07-08,1.0,87306.14622190202,874.6380587464521,88180.78428064847,54874.92273016455,3824.168855604102,58699.091585768656,22262.594927788698,18032.701891508845,8379.504227701955,31.0,1.0,18.093213822307504,1.0,1641.6885937914751,8700.0,8700.0,81708.50919696625,23009.41761119759
2025-07-09,1.0,79410.44165417916,767.9922714454895,80178.43392562465,51505.16180483099,2929.6737132440703,54434.83551807506,15508.733200500103,18232.073892405086,8843.049600862963,27.0,1.0,401.9303634322173,11.0,2646.0224368968397,8700.0,2400.000000000003,74843.37039448126,20408.5348764062
2025-07-10,1.0,87057.58508988432,212.94916179854604,87270.53425168287,55125.295722581825,796.5123202849124,55921.80804286674,22959.32702717428,18597.054892011165,10054.638733186423,12.0,1.0,13.915288677081435,2.0,2431.5822311845545,2400.000000000003,2400.0000000000045,69107.71870657841,13185.910663711671
2025-07-11,1.0,53381.14741186119,1281.7489493645712,54662.89636122576,30794.085380712986,3463.3420321487038,34257.42741286169,20908.28117660751,11265.707753052087,12501.545787670331,26.0,1.0,1101.9845477327776,17.0,1116.1570940621853,2400.0000000000045,8700.0,48862.651147815355,14605.223734953666
2025-07-12,1.0,47845.67197722633,122.97886354783566,47968.650840774164,28337.47191198509,407.0204282857584,28744.49234027085,19013.112503896245,15400.621128155959,13271.916131700546,7.0,1.0,44.48863675671646,2.0,1827.0022464910805,8700.0,8700.0,47758.77641871156,19014.284078440713
2025-07-13,1.0,87953.70811166179,58.78221144605493,88012.49032310785,55476.556492466494,334.29070446596756,55810.84719693246,22225.578040079028,18002.71821246401,14521.91009549283,4.0,1.0,8.469777220687092,1.0,4196.631013304383,8700.0,8700.0,64617.621319189,8806.774122256538
2025-07-14,1.0,86463.96051382757,188.47583791100257,86652.43635173856,54454.14094671894,904.7433685190954,55358.884315238036,22118.964185501227,17916.360990255995,10642.15393982667,8.0,1.0,124.14959881939262,4.0,3430.8057339612346,8700.0,8700.0,71079.51506129424,15720.630746056202
2025-07-15,1.0,90598.19592509556,1105.4800945096156,91703.67601960518,57557.80917109538,2907.512444457307,60465.32161555269,22213.399613849848,17992.853687218376,14734.079509640365,13.0,1.0,1067.3604435057239,12.0,5033.888803069952,8700.0,8700.0,65196.28427137851,4730.962655825817
2025-07-16,1.0,84396.20387784495,346.522331915854,84742.7262097608,54570.05355399042,1277.1520792323645,55847.20563322279,16340.061852396144,17825.450100440878,14093.551074472203,8.0,1.0,158.70280059594324,3.0,5424.0929537298125,8700.0,3599.9999999999995,63703.86151935563,7856.655886132845
2025-07-17,1.0,89770.8803832742,539.0768795865991,90309.9572628608,56928.82004704785,2644.354573097832,59573.17462014568,22019.31955657028,17835.64884082189,13405.870480445734,11.0,1.0,0.0,0.0,3022.9512961197893,3599.9999999999995,3600.000000000044,66072.79290104406,6499.618280898379
2025-07-18,1.0,54015.84660992568,48.16370352113995,54064.010313446815,31580.81765978398,205.09440328550352,31785.912063069485,19944.008973843862,11564.647268813567,14410.400508416522,2.0,1.0,14.683074444005797,1.0,1957.065550348731,3600.000000000044,8700.0,39137.25627957992,7351.344216510432
2025-07-19,1.0,48899.53826073074,1.6454507171995374,48901.18371144794,29249.81293775978,3.5928416410051898,29253.405779400782,19180.748059994734,15536.405928595734,18074.022530048936,1.0,1.0,0.0,0.0,3317.3656803910826,8700.0,8700.0,36329.326862572234,7075.921083171452
2025-07-20,1.0,87900.35850109266,149.69660670106947,88050.05510779373,55615.25239317815,495.25829352137436,56110.51068669952,22017.930858811294,17834.52399563715,11776.670027952927,6.0,1.0,88.7298734194344,2.0,3565.8184205412363,8700.0,8700.0,62359.9900047369,6249.479318037382
2025-07-21,1.0,87615.57466695528,246.0878673124236,87861.6625342677,55305.56425006065,1032.036359679018,56337.60060973967,21805.560740600158,17662.50419988613,9728.856643553665,13.0,1.0,44.40270275505736,4.0,3255.9407497039106,8700.0,8700.0,66477.91271397482,10140.312104235149
2025-07-22,1.0,90299.57065429755,404.64875997123727,90704.2194142688,57203.46219430966,1779.6989067385541,58983.161101048216,22481.376693079917,18209.915121394733,12637.613225916943,6.0,1.0,146.05232880078233,1.0,3604.7108074107496,8700.0,8700.0,62023.75175026675,3040.5906492185313
2025-07-23,1.0,84215.62371578225,263.5394301477643,84479.16314593001,54413.072619458464,1231.0813876935654,55644.15400715203,16799.53486331848,18197.623239287972,11660.704405232833,11.0,1.0,0.0,0.0,3811.3900481068936,8700.0,3599.999999999999,61882.62825564621,6238.474248494182
2025-07-24,1.0,89828.79316059219,582.9527016346136,90411.7458622268,56968.17380082756,2488.9542517169507,59457.1280525445,22616.7743189132,18319.587198319692,12498.086741633299,10.0,1.0,310.8631202291647,4.0,4929.436569355929,3599.999999999999,3600.0,62882.23187469009,3425.103822145589
2025-07-25,1.0,52251.76147167722,62.456848697197096,52314.21832037442,30322.46408869701,226.36642937154994,30548.83051806856,19976.014051989485,11590.571382111479,17423.456083829748,3.0,1.0,0.0,0.0,2237.8816748201075,3600.0,8700.0,28144.393428460855,-2404.4370896077053
2025-07-26,1.0,47283.8802515519,131.73610798131318,47415.61635953321,28216.64914444616,317.097863712091,28533.74700815825,19016.839265906227,15403.639805384044,15333.32533234436,7.0,1.0,53.37112855074906,2.0,2087.0041725940155,8700.0,8700.0,31264.26804169198,2730.5210335337288
2025-07-27,1.0,87126.95969861052,760.5380160481646,87887.49771465868,54973.301381082085,3315.5391641557894,58288.84054523787,22438.79772851879,18175.42616010022,9938.936346240107,22.0,1.0,18.29378476303212,2.0,2017.0034783101162,8700.0,8700.0,62265.09132832761,3976.2507830897375
2025-07-28,1.0,87515.76796332424,1167.2782147134017,88683.04617803764,55279.05115080578,4148.921356819644,59427.972507625425,22462.8527964657,18194.910765137214,6460.226913375823,33.0,1.0,711.3882940725266,15.0,2123.281569476248,8700.0,8700.0,71639.19956036261,12211.227052737187
2025-07-29,1.0,89979.59451313267,663.2328119066419,90642.82732503931,56978.897406655306,2529.9202434912804,59508.817650146586,22521.336344212887,18242.28243881244,10294.527469638862,13.0,1.0,280.5865336378848,4.0,3008.2641179854472,8700.0,8700.0,62743.708082739875,3234.890432593289
2025-07-30,1.0,84435.38565027982,84.63782315906218,84520.02347343888,54641.72299687994,348.80677875164724,54990.529775631585,16691.89691825146,18110.436503783683,11835.309008971108,8.0,1.0,0.0,0.0,3962.450240042861,8700.0,3599.9999999999995,58109.0539209112,3118.524145279618
2025-07-31,1.0,89533.60905877277,138.12543197977112,89671.73449075254,56672.87092086038,558.1583432104103,57231.02926407079,22333.33333333333,18090.0,10733.404890752541,8.0,1.0,0.0,0.0,3148.69510552234,3599.9999999999995,3599.9999999999977,58297.619353119655,1066.5900890488629
