date,soc_start_kwh,soc_end_kwh,emergency_kwh,emergency_cost_yuan
2025-02-01,5999.999999999998,8700.0,83.607655165256,301.1723454524388
2025-02-02,8700.0,8700.0,18.49930167839318,93.63575956157433
2025-02-03,8700.0,8700.000000000002,81.63328483517444,320.74244789999125
2025-02-04,8700.000000000002,8700.0,700.1765144776334,2827.7310245134954
2025-02-05,8700.0,8700.0,229.19806014896926,849.4777463598774
2025-02-06,8700.0,8700.000000000002,143.74650422590923,695.3117402546839
2025-02-07,8700.000000000002,8700.0,135.6111579423584,775.8834432332009
2025-02-08,8700.0,8700.000000000002,194.0548634085181,1061.055864321103
2025-02-09,8700.000000000002,8700.0,613.8019486241747,1833.481660416996
2025-02-10,8700.0,8700.0,105.11591093823765,514.4449482285883
2025-02-11,8700.0,8700.000000000004,97.42623111011224,517.8724452670126
2025-02-12,8700.000000000004,7950.0,398.6157143646725,1619.5936980414806
2025-02-13,7950.0,7200.0,228.17886647491213,706.1321459208807
2025-02-14,7200.0,8700.0,807.7585867050201,2616.5550383115824
2025-02-15,8700.0,8700.000000000004,863.1539175850208,3007.5130951900587
2025-02-16,8700.000000000004,8700.0,1260.5265930244575,4984.1416299509065
2025-02-17,8700.0,8700.0,354.8159441232875,1249.8751696171048
2025-02-18,8700.0,8700.0,486.8948627262979,1957.6474933677616
2025-02-19,8700.0,7200.000000000002,1236.7907085255642,4460.993618890723
2025-02-20,7200.000000000002,5999.999999999989,540.4749487263357,2218.320094287105
2025-02-21,5999.999999999989,8700.0,579.7622380388386,2005.491083694021
2025-02-22,8700.0,8700.0,838.6211500535778,3152.154949942353
2025-02-23,8700.0,8700.0,1121.192901030212,3818.699941291761
2025-02-24,8700.0,8700.0,384.27458626699,1668.1583674105095
2025-02-25,8700.0,8700.0,418.9282883039133,1440.2633463746743
2025-02-26,8700.0,6000.000000000007,635.0020266144049,2558.320655167355
2025-02-27,6000.000000000007,6000.000000000061,510.6205010349096,2503.023680547285
2025-02-28,6000.000000000061,8700.0,506.2447581213687,1831.0721897120857
2025-03-01,8700.0,8700.0,488.9278412046725,1813.3073131158246
2025-03-02,8700.0,8700.000000000002,4429.40120069746,16492.31003437951
2025-03-03,8700.000000000002,8700.0,2746.442546560636,11298.334340647496
2025-03-04,8700.0,8700.0,329.16853845242764,1095.1016310482714
2025-03-05,8700.0,6000.00000000001,85.04136033782707,352.0111200090545
2025-03-06,6000.00000000001,4800.000000000005,166.16116103434618,566.7476426128551
2025-03-07,4800.000000000005,8700.000000000004,129.5966776869138,404.57847933527626
2025-03-08,8700.000000000004,8700.0,178.7472091393603,460.09591822016915
2025-03-09,8700.0,8700.0,245.060158932567,921.3624675950357
2025-03-10,8700.0,8700.0,1360.8942514052621,3891.5733667968407
2025-03-11,8700.0,8700.000000000004,336.5618632263647,1250.3923506800688
2025-03-12,8700.000000000004,4800.000000000001,414.41682937886566,1243.7250288991324
2025-03-13,4800.000000000001,4800.000000000002,2004.9944926653884,7985.5852209398645
2025-03-14,4800.000000000002,8700.0,255.3682277997102,1030.0511514131092
2025-03-15,8700.0,8700.0,626.8573786720045,2217.801885204177
2025-03-16,8700.0,8700.0,827.5421472881767,3278.2337724678514
2025-03-17,8700.0,8700.000000000004,201.88421843851668,759.7206534845001
2025-03-18,8700.000000000004,8700.0,1175.7010934681243,5690.3920817426715
2025-03-19,8700.0,3599.999999999621,673.2867931372541,3375.315434325578
2025-03-20,3599.999999999621,3599.9999999999723,653.8562213355166,2542.349900326808
2025-03-21,3599.9999999999723,8700.0,363.03269414114686,1211.1415003293812
2025-03-22,8700.0,8700.000000000002,394.35846392382393,1302.7309523563713
2025-03-23,8700.000000000002,8700.000000000002,746.731169667062,2767.6767436446494
2025-03-24,8700.000000000002,8700.000000000002,702.2528715329054,2488.4954930240533
2025-03-25,8700.000000000002,8700.000000000005,1382.8442289887787,4717.677020784687
2025-03-26,8700.000000000005,3600.000000000003,172.118910682797,473.04017427571944
2025-03-27,3600.000000000003,3599.9999999998927,602.0527985590224,2073.851957047091
2025-03-28,3599.9999999998927,8700.0,378.07113218750584,1424.7614706306176
2025-03-29,8700.0,8700.0,210.60626394450378,807.2197762806184
2025-03-30,8700.0,8700.0,897.3218241300532,3465.227564627509
2025-03-31,8700.0,8700.0,2085.1725234147334,7878.455955697061
2025-04-01,8700.0,8700.000000000004,3273.4441751395852,9112.986079911507
2025-04-02,8700.000000000004,3600.0000000000027,3382.184686321509,13492.60260777851
2025-04-03,3600.0000000000027,3600.000000000001,438.42627644802764,1717.4431814239379
2025-04-04,3600.000000000001,8700.0,187.42822864192618,766.6317151123701
2025-04-05,8700.0,8700.0,523.1478157539493,2039.863107686795
2025-04-06,8700.0,8700.0,152.09618206812905,609.3197986019632
2025-04-07,8700.0,8700.0,176.51087120015768,481.9390629320923
2025-04-08,8700.0,8700.0,606.6180301891213,2791.8627760838917
2025-04-09,8700.0,3600.0000000000045,1835.595898874853,6107.99739062767
2025-04-10,3600.0000000000045,3600.0000000000005,661.4001715071711,2979.7315037727208
2025-04-11,3600.0000000000005,8700.0,402.3566441298667,1602.5538388431128
2025-04-12,8700.0,8700.0,160.86660552046303,683.7671799960133
2025-04-13,8700.0,8700.000000000002,305.3315130947683,1379.892191136067
2025-04-14,8700.000000000002,8700.000000000002,274.5609270853302,1220.0483232019467
2025-04-15,8700.000000000002,8700.0,94.77425131502275,428.6498228473046
2025-04-16,8700.0,2399.999999999997,686.2529867115965,2296.382156023471
2025-04-17,2399.999999999997,2400.0000000000027,280.08151082755205,1181.127745132578
2025-04-18,2400.0000000000027,8700.000000000002,206.12444331397,614.5453143156446
2025-04-19,8700.000000000002,8700.0,256.88485007237824,781.5810880224172
2025-04-20,8700.0,8700.0,434.85828659128083,1764.5291892502066
2025-04-21,8700.0,8700.0,308.570865238847,1029.979658014114
2025-04-22,8700.0,8700.0,619.3120233752561,1961.9543799257015
2025-04-23,8700.0,2399.999999999998,334.8755860601961,1110.4496458769008
2025-04-24,2399.999999999998,2400.0000000000005,119.22688756979267,524.9606332868235
2025-04-25,2400.0000000000005,8700.0,191.48044339198648,715.6778215219139
2025-04-26,8700.0,8700.0,372.1320808659026,1358.6573581824564
2025-04-27,8700.0,8700.0,1103.9943766501199,4665.244043835497
2025-04-28,8700.0,8700.0,5530.874262062678,20286.847755928684
2025-04-29,8700.0,8700.0,579.4063838822794,2442.2592291494375
2025-04-30,8700.0,2400.000000000001,934.2283360780573,3211.933957460941
2025-05-01,2400.000000000001,2400.0,2626.14581444269,12220.093208736887
2025-05-02,2400.0,8700.0,3265.0720170313766,14462.106382368558
2025-05-03,8700.0,8700.000000000002,1369.620174944072,6996.229087316139
2025-05-04,8700.000000000002,8700.0,1253.588029518923,5672.148602216744
2025-05-05,8700.0,8700.0,1584.7224381375381,7105.08942493161
2025-05-06,8700.0,8700.0,1283.636456893765,4986.955072046712
2025-05-07,8700.0,2400.0000000000045,780.349903072773,3753.6036479161003
2025-05-08,2400.0000000000045,2400.000000000018,712.6702818632133,2812.5836984186985
2025-05-09,2400.000000000018,8700.0,133.16420370349465,417.18244060109527
2025-05-10,8700.0,8700.0,286.1919009684822,940.6814386291976
2025-05-11,8700.0,8700.0,371.0049720752723,1407.213151466905
2025-05-12,8700.0,8700.0,560.0329077228208,1538.2960565699088
2025-05-13,8700.0,8700.000000000002,94.00979854868172,312.86494953519315
2025-05-14,8700.000000000002,2400.000000000001,185.18966544658107,586.6816582703742
2025-05-15,2400.000000000001,2400.0,329.4796165660893,1258.9945590780699
2025-05-16,2400.0,8700.0,107.74720813922856,294.0952364709918
2025-05-17,8700.0,8700.0,514.0118971283819,1903.9051660719988
2025-05-18,8700.0,8700.0,720.5226246032767,2007.8028801063233
2025-05-19,8700.0,8700.0,156.18630363111686,912.5577745390804
2025-05-20,8700.0,8700.0,667.0164807766087,2475.221304789468
2025-05-21,8700.0,1950.0,660.7738003590698,2479.8442545863254
2025-05-22,1950.0,1950.0,174.87316567217528,634.856381107641
2025-05-23,1950.0,8700.0,168.4296815276446,496.8558744898854
2025-05-24,8700.0,8700.000000000002,147.41641538548316,396.13761701863484
