variant,value_yuan_per_stored_kwh,terminal_soc_kwh,auxiliary_cost_yuan
r0_24h,0.0,1200.0000000000005,14722309.191109942
r1_48h,0.0,8550.0,14701174.650351468
r2_72h,0.0,8550.0,14701174.650351468
r0_24h,0.33417,1200.0000000000005,14722309.191109942
r1_48h,0.33417,8550.0,14698718.50085147
r2_72h,0.33417,8550.0,14698718.50085147
r0_24h,1.2556800000000001,1200.0000000000005,14722309.191109942
r1_48h,1.2556800000000001,8550.0,14691945.402351469
r2_72h,1.2556800000000001,8550.0,14691945.402351469
