date,alpha,margin_kwh,max_margin_kwh,residual_sample_count
2025-02-01,0.8,0.0,0.0,30
2025-02-02,0.8,857.798324404762,64.87085297619069,31
2025-02-03,0.8,1112.5030728571426,58.43208261904781,32
2025-02-04,0.8,1328.9189422789805,51.99331226190493,33
2025-02-05,0.8,1310.0777816833418,45.55454190476206,34
2025-02-06,0.8,1290.403945431912,45.24939999999992,35
2025-02-07,0.8,1218.1943614241593,56.8544099999998,36
2025-02-08,0.8,1308.4608949250423,50.330497999999906,37
2025-02-09,0.8,1377.1608365737802,47.37221933333327,38
2025-02-10,0.8,1422.4146833442092,44.413940666666626,39
2025-02-11,0.8,1371.0610543156972,41.45566199999999,40
2025-02-12,0.8,1307.7682267269245,44.209191666666584,41
2025-02-13,0.8,1377.6165444891255,47.67760238095219,42
2025-02-14,0.8,1382.7391397627885,46.0953000952381,43
2025-02-15,0.8,1428.0932522942385,45.466597285714265,44
2025-02-16,0.8,1463.7338999977105,44.83789447619043,45
2025-02-17,0.8,1470.3609849999996,44.209191666666584,46
2025-02-18,0.8,1525.1179341504917,38.542203333333326,47
2025-02-19,0.8,1550.928426469792,36.169230476190535,48
2025-02-20,0.8,1591.933619130656,35.005154047619115,49
2025-02-21,0.8,1603.5427951724726,40.08716523809527,50
2025-02-22,0.8,1646.2203493650823,39.93997916666649,51
2025-02-23,0.8,1676.2229139047633,38.241610190476216,52
2025-02-24,0.8,1762.510589803354,38.085819904761955,53
2025-02-25,0.8,1787.575100633455,37.88003819047626,54
2025-02-26,0.8,1774.4004171933425,37.67425647619057,55
2025-02-27,0.8,1784.2612379655225,37.46847476190487,56
2025-02-28,0.8,1769.1565595996383,37.41848333333344,57
2025-03-01,0.8,1820.5242433148826,37.368491904762,58
2025-03-02,0.8,1843.8401701850562,37.31850047619057,59
2025-03-03,0.8,1924.2158525392465,37.26850904761913,60
2025-03-04,0.8,2058.742399155718,37.26850904761913,61
2025-03-05,0.8,2167.531920759823,37.26850904761913,62
2025-03-06,0.8,2184.872781311875,37.67425647619057,63
2025-03-07,0.8,2252.7695351284547,41.30274838095252,64
2025-03-08,0.8,2302.5807493500834,41.30274838095252,65
2025-03-09,0.8,2299.820129254844,41.30274838095252,66
2025-03-10,0.8,2292.033590842146,41.30274838095252,67
2025-03-11,0.8,2369.6205204924563,41.30274838095252,68
2025-03-12,0.8,2393.450513016107,41.30274838095252,69
2025-03-13,0.8,2419.4477765566644,37.5117352380953,70
2025-03-14,0.8,2535.203658248821,60.4421189935056,71
2025-03-15,0.8,2501.7111575137974,60.4421189935056,72
2025-03-16,0.8,2533.1285565343733,60.4421189935056,73
2025-03-17,0.8,2548.6619999049794,60.4421189935056,74
2025-03-18,0.8,2529.632372271256,60.4421189935056,75
2025-03-19,0.8,2511.378433336833,60.4421189935056,76
2025-03-20,0.8,2501.171304638419,60.4421189935056,77
2025-03-21,0.8,2565.553538857166,60.4421189935056,78
2025-03-22,0.8,2552.798120871733,60.4421189935056,79
2025-03-23,0.8,2571.721391871734,60.4421189935056,80
2025-03-24,0.8,2585.930034011356,60.4421189935056,81
2025-03-25,0.8,2593.5846737937777,60.4421189935056,82
2025-03-26,0.8,2630.9111614324506,78.97282610623128,83
2025-03-27,0.8,2619.830567052013,78.97282610623128,84
2025-03-28,0.8,2624.7048845838094,78.97282610623128,85
2025-03-29,0.8,2604.023004789012,63.61084986337574,86
2025-03-30,0.8,2610.640719386147,63.61084986337574,87
2025-03-31,0.8,2613.9647949466334,63.61084986337574,88
2025-04-01,0.8,2631.9687609396105,63.61084986337574,89
2025-04-02,0.8,2590.763293727835,63.61084986337574,90
2025-04-03,0.8,2604.6325118392137,63.61084986337574,91
2025-04-04,0.8,2602.4974375561264,63.61084986337574,92
2025-04-05,0.8,2589.824966146597,63.61084986337574,93
2025-04-06,0.8,2580.406603442773,63.61084986337574,94
2025-04-07,0.8,2598.7067173093656,63.61084986337574,95
2025-04-08,0.8,2622.2409367386413,63.61084986337574,96
2025-04-09,0.8,2680.1171173604753,63.61084986337574,97
2025-04-10,0.8,2774.109000702859,68.63263215680279,98
2025-04-11,0.8,2744.2652764154177,68.63263215680279,99
2025-04-12,0.8,2722.91313373864,68.63263215680279,100
2025-04-13,0.8,2579.8984923121993,52.899225908576675,101
2025-04-14,0.8,2656.3661742548948,52.899225908576675,102
2025-04-15,0.8,2669.9206871054384,50.34033180952374,103
2025-04-16,0.8,2626.2720571403142,50.34033180952374,104
2025-04-17,0.8,2773.0326103925872,68.63263215680279,105
2025-04-18,0.8,2778.166678613794,68.63263215680279,106
2025-04-19,0.8,2781.9601723126007,68.63263215680279,107
2025-04-20,0.8,2710.383271455292,64.84514644251706,108
2025-04-21,0.8,2758.1067760680235,64.84514644251706,109
2025-04-22,0.8,2754.652580829929,64.84514644251706,110
2025-04-23,0.8,2796.4332355561273,64.84514644251706,111
