date,variant,alpha,base_planned_cost_yuan,margin_purchase_cost_yuan,purchase_kwh,margin_kwh,reserve_segments
2025-02-01,greedy_closed,0.8,29052.093774647376,0.0,50549.81748094104,0.0,0
2025-02-01,dp_fixed,0.8,29052.093774647376,0.0,50549.81748094104,0.0,42
2025-02-01,dp_closed,0.8,29052.093774647376,0.0,50549.81748094104,0.0,42
2025-02-02,greedy_closed,0.8,64801.84705833295,689.8602309088692,97499.2787557496,857.798324404762,0
2025-02-02,dp_fixed,0.8,64801.84705833295,689.8602309088692,97499.2787557496,857.798324404762,36
2025-02-02,dp_closed,0.8,64801.84705833295,689.8602309088692,97499.2787557496,857.798324404762,36
2025-02-03,greedy_closed,0.8,64119.976627583965,926.0919751084405,96869.34393349651,1112.5030728571426,0
2025-02-03,dp_fixed,0.8,64119.976627583965,926.0919751084405,96869.34393349651,1112.5030728571426,38
2025-02-03,dp_closed,0.8,64119.976627583965,926.0919751084405,96869.34393349651,1112.5030728571426,38
2025-02-04,greedy_closed,0.8,63819.64126939644,1113.476772843338,96648.4180133169,1328.9189422789805,0
2025-02-04,dp_fixed,0.8,63819.64126939644,1113.476772843338,96648.4180133169,1328.9189422789805,38
2025-02-04,dp_closed,0.8,63819.64126939644,1113.476772843338,96648.4180133169,1328.9189422789805,38
2025-02-05,greedy_closed,0.8,62952.6333595318,1127.4014982195954,95531.12759597244,1310.0777816833418,0
2025-02-05,dp_fixed,0.8,62952.6333595318,1127.4014982195954,95531.12759597244,1310.0777816833418,40
2025-02-05,dp_closed,0.8,62952.6333595318,1127.4014982195954,95531.12759597244,1310.0777816833418,40
2025-02-06,greedy_closed,0.8,61874.88183605876,1109.8337933493267,93893.45416297344,1290.403945431912,0
2025-02-06,dp_fixed,0.8,61874.88183605876,1109.8337933493267,93893.45416297344,1290.403945431912,48
2025-02-06,dp_closed,0.8,61874.88183605876,1109.8337933493267,93893.45416297344,1290.403945431912,48
2025-02-07,greedy_closed,0.8,22298.363695932938,1070.8682417591322,41193.466212759886,1218.1943614241593,0
2025-02-07,dp_fixed,0.8,22298.363695932938,1070.8682417591322,41193.466212759886,1218.1943614241593,58
2025-02-07,dp_closed,0.8,22298.363695932938,1070.8682417591322,41193.466212759886,1218.1943614241593,58
2025-02-08,greedy_closed,0.8,21806.72947278584,1141.6685089068733,40848.95947986339,1308.4608949250423,0
2025-02-08,dp_fixed,0.8,21806.72947278584,1141.6685089068733,40848.95947986339,1308.4608949250423,53
2025-02-08,dp_closed,0.8,21806.72947278584,1141.6685089068733,40848.95947986339,1308.4608949250423,53
2025-02-09,greedy_closed,0.8,55138.62880962699,1172.0826746770927,87152.16785301137,1377.1608365737802,0
2025-02-09,dp_fixed,0.8,55138.62880962699,1172.0826746770927,87152.16785301137,1377.1608365737802,38
2025-02-09,dp_closed,0.8,55138.62880962699,1172.0826746770927,87152.16785301137,1377.1608365737802,38
2025-02-10,greedy_closed,0.8,55147.2428757024,1204.0303923907816,87185.40016147854,1422.4146833442092,0
2025-02-10,dp_fixed,0.8,55147.2428757024,1204.0303923907816,87185.40016147854,1422.4146833442092,38
2025-02-10,dp_closed,0.8,55147.2428757024,1204.0303923907816,87185.40016147854,1422.4146833442092,38
2025-02-11,greedy_closed,0.8,56100.88201969109,1165.577407774701,90089.6976954623,1371.0610543156972,0
2025-02-11,dp_fixed,0.8,56100.88201969109,1165.577407774701,90089.6976954623,1371.0610543156972,39
2025-02-11,dp_closed,0.8,56100.88201969109,1165.577407774701,90089.6976954623,1371.0610543156972,39
2025-02-12,greedy_closed,0.8,53801.76868246403,1112.0602479129911,85509.22417940747,1307.7682267269245,0
2025-02-12,dp_fixed,0.8,53801.76868246403,1112.0602479129911,85509.22417940747,1307.7682267269245,52
2025-02-12,dp_closed,0.8,53801.76868246403,1112.0602479129911,85509.22417940747,1307.7682267269245,52
2025-02-13,greedy_closed,0.8,53165.20957157148,1179.9004214923948,85380.53003129404,1377.6165444891255,0
2025-02-13,dp_fixed,0.8,53165.20957157148,1179.9004214923948,85380.53003129404,1377.6165444891255,58
2025-02-13,dp_closed,0.8,53165.20957157148,1179.9004214923948,85380.53003129404,1377.6165444891255,58
2025-02-14,greedy_closed,0.8,19364.258288153553,1173.0227247694183,38560.0843963012,1382.7391397627885,0
2025-02-14,dp_fixed,0.8,19364.258288153553,1173.0227247694183,38560.0843963012,1382.7391397627885,49
2025-02-14,dp_closed,0.8,19364.258288153553,1173.0227247694183,38560.0843963012,1382.7391397627885,49
