date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh
2025-02-25,1,74767.55880969923,1212.7363828350938,75980.29519253432,46149.048636283114,4739.952665369893,50889.00130165301,18504.67516392546,15064.122393972753,6718.4191892482795,19,1,1.1368683772161603e-13,0,7.638334409421077e-14,9767.648275670676,9683.942152122761
2025-02-26,1,73920.20900107175,1640.387036540478,75560.59603761222,45611.57947351017,6874.986588400791,52486.56606191097,19307.286687941374,15360.933665471031,2799.3949818085557,29,1,5.684341886080801e-13,0,4.263256414560601e-14,9683.942152122761,9992.79609852441
2025-02-27,1,72996.89450128439,1535.090060935863,74531.98456222026,45084.17379863065,6417.713338322285,51501.88713695293,20868.71718544753,16970.312695920486,3676.9958726932073,16,1,2.842170943040401e-14,0,1.5987211554602254e-13,9992.79609852441,9918.738569959984
2025-02-28,1,33404.75819314999,626.1255487827701,34030.88374193276,17138.25643844326,1479.6004108055154,18617.856849248772,19655.337120089265,16050.502439495815,7133.455511339309,20,1,1.687538997430238e-14,0,4.263256414560601e-14,9918.738569959984,9774.650378600536
2025-03-01,1,33087.769763511904,835.6259250396823,33923.39568855159,16958.384195020066,2648.268723074541,19606.652918094605,18688.63310560846,15127.568524484128,6703.565174093917,22,1,0.0,0,2.5757174171303632e-14,9774.650378600536,9786.010701999117
2025-03-02,1,71480.1712488053,4713.874933895084,76194.04618270039,43954.72467906202,24674.83565708643,68629.56033614845,18988.793402783875,15476.524115404145,323.4698286539826,52,1,8.242295734817162e-13,0,0.0,9786.010701999117,9679.786858500003
2025-03-03,1,72036.31297754403,4157.117949266961,76193.430926811,44312.9742792092,18956.746269796284,63269.720549005484,20391.42943164488,16508.503144952927,293.35800678571434,45,1,1.1943228524213811e-12,0,1.0658141036401503e-13,9679.786858500003,9689.292074810475
2025-03-04,1,73317.35802803426,380.3686306351294,73697.72665866939,45165.33512967021,1073.5489202005099,46238.88404987072,21802.260277697656,17653.550030051432,349.5584776898314,21,1,1.0305645226083016e-12,0,5.861977570020827e-14,9689.292074810475,9696.270735792332
2025-03-05,1,74215.82989057162,417.15059429253324,74632.98048486415,45720.89039484142,1544.4103051244233,47265.30069996585,19838.89692997544,16029.364288337356,4692.975826559403,15,1,2.925162282535476e-13,0,3.375077994860476e-14,9696.270735792332,9740.873207950943
2025-03-06,1,74209.67263452688,392.6204843797752,74602.29311890666,45794.191831235556,1465.6325025175793,47259.82433375314,19535.5895351704,15740.600234760119,4866.649685163052,21,1,2.8421709430404007e-13,0,1.7053025658242404e-13,9740.873207950943,9833.347973204174
