date,corrected_intervals,reference_expected_cost_yuan,final_expected_cost_yuan,expected_gain_yuan,reference_realized_cost_yuan,final_realized_cost_yuan,realized_gain_yuan
2025-02-23,2,1378.5573964052066,1413.0670353819373,-34.50963897673106,3767.104131816649,3767.1041318166513,-2.1742607714259066e-12
2025-02-24,0,1313.4603125258573,1313.4603125258573,8.704148513061227e-14,1548.749713108459,1548.749713108459,0.0
2025-02-25,0,1343.637285962916,1343.637285962916,7.416289804496046e-14,1603.2382950144522,1603.2382950144522,0.0
2025-02-26,0,1332.6198665387108,1332.6198665387117,-8.313350008393172e-13,2842.2994751223378,2842.2994751223373,3.765876499528531e-13
2025-02-27,0,1389.4390168348793,1389.4390168348787,5.964118088286341e-13,2225.890677866722,2225.890677866722,0.0
2025-02-28,0,595.9422830134805,595.9422830134805,0.0,1759.1957344367754,1759.1957344367754,0.0
2025-03-01,0,562.0475164638076,562.0475164638106,-2.880362615087506e-12,1984.9778392939045,1984.9778392939245,-2.0168755554550444e-11
2025-03-02,0,1632.238311673731,1632.2383116737315,-9.370282327836321e-14,17030.817281670585,17030.817281670585,3.979039320256561e-13
2025-03-03,0,2417.74930246185,2417.7493024618493,9.960920976936904e-13,10954.285147450013,10954.285147450006,6.764366844436154e-12
2025-03-04,0,2423.777811450898,2423.777811450898,5.3290705182007514e-14,1180.809830533932,1180.809830533932,0.0
2025-03-05,0,2441.377324729763,2441.3773247297677,-4.249045559845399e-12,399.1210009275429,399.1210009275627,-1.9826806862965896e-11
2025-03-06,0,2437.4479848365368,2437.4479848365377,-9.321432514752814e-13,640.9067056385148,640.9067056385144,3.765876499528531e-13
2025-03-07,0,1553.2364403032511,1553.2364403032504,7.069900220812997e-13,365.5807788482238,365.58077884821404,9.848122317634989e-12
2025-03-08,0,1432.605590153156,1432.6055901531568,-6.270539643082884e-13,614.1841551225604,614.1841551225604,0.0
2025-03-09,0,2578.4125064827003,2578.412506482705,-4.417799459588423e-12,789.2886067977951,789.2886067977951,0.0
2025-03-10,0,2688.0090165059896,2688.0090165059896,-5.684341886080802e-14,4152.093782637308,4152.093782637308,2.0961010704922955e-13
2025-03-11,0,2741.9590411465097,2741.9590411465097,1.0169642905566434e-13,1082.7548938562704,1082.75489385627,5.88418203051333e-13
2025-03-12,2,2628.183390505233,2633.8912762598034,-5.707885754570607,1320.0931271013897,1299.6231786689311,20.469948432458658
2025-03-13,5,2725.725125830874,2802.6898319542565,-76.96470612338271,8024.996447654256,8027.785646242658,-2.7891985884016037
2025-03-14,9,807.6802342845588,1730.243801478395,-922.5635671938364,1264.2638200951717,1126.6646100269954,137.5992100681762
2025-03-15,0,579.7163099152984,579.7163099152984,6.867839630331218e-15,2133.2500662889197,2133.2500662889197,0.0
2025-03-16,4,2392.175296568954,2442.0616498755244,-49.886353306570186,3636.7452907731704,3380.038236614462,256.7070541587084
2025-03-17,0,1963.218295402015,1963.2182954020168,-1.5276668818842154e-12,830.6416394886116,830.6416394886116,0.0
2025-03-18,0,2074.5316195422106,2074.5316195422097,4.565237077258644e-13,5280.686239936174,5280.686239936174,0.0
2025-03-19,2,2183.081826454828,2211.085489214741,-28.0036627599126,3298.7461222872435,3215.099004609053,83.64711767819071
2025-03-20,2,2156.48160361078,2170.1922617499877,-13.710658139207933,2740.8546260836792,2638.3027488774223,102.55187720625658
2025-03-21,15,679.5363595037891,2024.784121281355,-1345.247761777566,1190.1651968451758,1190.1651968451758,0.0
2025-03-22,4,660.9179815379383,762.6828006340492,-101.76481909611104,1774.7408639780674,1774.7408639780674,0.0
2025-03-23,0,1783.8204605461683,1783.8204605461683,3.674838211509268e-14,2677.45498419011,2677.45498419011,0.0
2025-03-24,3,1615.6175492993837,1634.0994787903185,-18.48192949093489,2555.1241056044523,2462.5281214573956,92.59598414705653
2025-03-25,0,1707.4649293305317,1707.4649293305336,-2.0037305148434825e-12,4368.190015835259,4368.190015835269,-9.379164112033322e-12
2025-03-26,2,1520.6114881815386,1521.2908777406797,-0.679389559141141,521.3810797572645,513.1902110860044,8.19086867125998
2025-03-27,0,1526.7486196559819,1526.748619655984,-2.0110579868060086e-12,2493.5928084289535,2493.5928084289535,0.0
2025-03-28,17,647.0346415385295,1507.227467371234,-860.1928258327046,1074.8512665320236,1074.8512665320236,0.0
2025-03-29,29,623.4643273908707,2443.0189555118523,-1819.5546281209813,1037.9571309187475,1037.9571309187477,-3.410605131648481e-13
2025-03-30,3,1506.7231514723924,1522.0004230540433,-15.277271581650554,3689.743253839596,3440.843092742285,248.90016109731027
2025-03-31,3,1594.7806604557834,1624.8037741074527,-30.023113651669373,7883.589275751381,7750.529203946531,133.06007180485005
2025-04-01,0,1589.4450156814096,1589.445015681409,6.350475700855895e-13,9518.914046110674,9518.91404611067,3.799627279477136e-12
2025-04-02,0,1670.2206893946939,1670.220689394693,6.004086117172847e-13,12736.717419097477,12736.717419097477,2.1316282072803006e-13
2025-04-03,0,2086.4626544180364,2086.4626544180383,-1.7124079931818414e-12,2101.0567363705172,2101.0567363705172,0.0
2025-04-04,21,552.1795922301667,4034.2779354975246,-3482.098343267358,742.3416339538632,742.3416339538632,0.0
2025-04-05,8,532.2747651568064,961.9989910456377,-429.72422588883165,1976.3021979555886,955.8847417784556,1020.4174561771334
2025-04-06,3,2053.0202714224115,2080.4713013156343,-27.451029893223275,584.1203659274996,584.1203659274996,0.0
2025-04-07,0,2025.1705027947328,2025.1705027947332,-6.17284001691587e-13,480.97204374503684,480.97204374503684,0.0
2025-04-08,0,1990.9586519819973,1990.9586519819964,9.627854069549358e-13,2797.0890144437617,2797.0890144437617,0.0
2025-04-09,0,2155.566941874386,2155.566941874385,7.416289804496046e-13,6222.074249013673,6222.074249013664,9.734435479913373e-12
2025-04-10,0,1837.3028706810774,1837.3028706810787,-1.1368683772161603e-12,2471.9089456372285,2471.9089456372362,-7.94031507211912e-12
2025-04-11,22,640.421971531566,3276.1887478299213,-2635.7667762983556,1602.2672222726255,1602.2672222726255,0.0
2025-04-12,0,652.3587856179647,652.3587856179653,-5.60218538225854e-13,585.8459343382739,585.8459343382739,0.0
2025-04-13,0,1874.8935628882225,1874.8935628882223,1.6253665080512292e-13,1459.2305065491398,1459.2305065491398,0.0
2025-04-14,0,1803.9895694631898,1803.9895694631898,1.9539925233402755e-13,1261.5134413271253,1261.5134413271253,0.0
2025-04-15,3,1907.447634014937,1920.287412934002,-12.839778919065111,857.0775807199577,727.6113275474158,129.46625317254183
2025-04-16,0,1801.687506036958,1801.68750603696,-2.0108359422010835e-12,2024.5168840398983,2024.5168840398983,0.0
2025-04-17,3,1509.9039576916932,1561.399663314702,-51.49570562300842,1028.8343361042425,966.5412273842762,62.29310871996634
2025-04-18,0,555.0338794213746,555.0338794213746,0.0,462.781987104249,462.781987104249,0.0
2025-04-19,17,573.6193913953358,2894.5617067445805,-2320.9423153492444,725.8458715747602,725.8458715747602,0.0
2025-04-20,2,1364.7543230975757,1366.6927373167878,-1.9384142192119005,1359.4917895683238,1322.177533929029,37.3142556392947
2025-04-21,0,1374.782264361704,1374.782264361704,-1.4038770146385104e-13,1014.2760128184844,1014.276012818485,-5.826450433232822e-13
2025-04-22,0,1394.087201794631,1394.0872017946306,3.5704772471945034e-13,2158.45877886417,2158.45877886417,0.0
2025-04-23,0,1366.7246953573767,1366.7246953573758,1.0293987884324451e-12,1057.2497350084498,1057.2497350084498,0.0
2025-04-24,0,1139.603365545015,1139.6033655450171,-2.0410340084708878e-12,452.48474664435867,452.48474664435867,0.0
2025-04-25,29,539.4173373492581,1882.5576488206366,-1343.140311471378,704.6483976214123,704.6483976214123,0.0
2025-04-26,37,501.5782557042158,3193.6614809126863,-2692.0832252084706,1743.7461429096545,1486.3025009807675,257.44364192888713
2025-04-27,0,1019.3484596798752,1019.3484596798748,4.871658632055187e-13,5067.493069739538,5067.493069739538,0.0
2025-04-28,0,1153.1027726806924,1153.1027726806992,-6.799893981224159e-12,19696.800742310636,19696.800742310636,0.0
2025-04-29,2,1894.6416720201498,1896.2274998918654,-1.5858278717156038,2687.3706085931294,2687.3706085931294,0.0
2025-04-30,0,1925.6268006489277,1925.626800648927,7.287503933639528e-13,3088.1393462798187,3088.1393462798187,0.0
2025-05-01,5,1813.9234388502873,2392.4374738009014,-578.5140349506138,12029.284458677,12021.954303888839,7.330154788164236
2025-05-02,0,1140.5472472131949,1140.5472472131949,-2.6423307986078726e-14,14435.498539280385,14435.498539280385,-1.8474111129762605e-13
2025-05-03,15,1440.8561959243218,1928.2435868253885,-487.38739090106685,7028.274138016899,7028.274138016899,0.0
2025-05-04,7,2643.0075353855777,3125.1312249088464,-482.12368952326835,5471.792836599199,5411.132484012845,60.66035258635384
2025-05-05,4,2500.8156231438306,2699.1258920433365,-198.31026889950385,6908.893250877954,6704.0300265839405,204.86322429401343
2025-05-06,6,2307.1967515056162,2512.9661713807877,-205.76941987517046,4822.562210892609,4536.245070949563,286.31713994304613
2025-05-07,3,2227.62311472634,2317.5867149189003,-89.9636001925603,3671.774727119449,3683.857044943154,-12.08231782370541
2025-05-08,0,2125.540841540988,2125.5408415409916,-3.396394276933279e-12,2626.506600257496,2626.506600257496,0.0
2025-05-09,17,992.4430415821643,4117.171757021457,-3124.7287154392925,397.3206009121585,397.3206009121585,0.0
2025-05-10,11,959.4567604341145,1511.9276767236684,-552.4709162895533,903.45848973594,903.45848973594,0.0
2025-05-11,4,2135.5786735481347,2268.063419891433,-132.4847463432979,1342.4085505254934,1317.2444641703557,25.16408635513784
2025-05-12,3,2211.5389785834677,2248.3119795784924,-36.773000995024205,1566.9581925613786,1409.8998101965344,157.05838236484425
2025-05-13,3,1873.2698539760408,1884.307716258841,-11.037862282800226,165.92993650034097,165.92993650034097,0.0
2025-05-14,0,1932.336882728049,1932.3368827280485,2.0594637106796654e-13,356.6523073519082,356.6523073519082,0.0
2025-05-15,4,1938.4780914841992,2013.9081973725322,-75.43010588833269,1252.3025120487498,1252.3025120487498,0.0
2025-05-16,32,972.4961536383715,5571.247492601019,-4598.751338962649,356.5459477642616,356.5459477642616,0.0
2025-05-17,0,923.6868829725657,923.6868829725669,-1.3774853004276469e-12,2163.238014380777,2163.238014380781,-3.964828465541359e-12
2025-05-18,0,1835.3952056834405,1835.3952056834428,-2.2097879082139116e-12,2133.5591005013016,2133.5591005013016,0.0
2025-05-19,0,1829.015807442274,1829.0158074422739,2.0516921495072893e-13,994.6608750363783,994.6608750363799,-1.5916157281026244e-12
2025-05-20,3,1894.1984955852258,1901.8548931363837,-7.6563975511580225,2773.7796314472866,2708.722671294137,65.05696015314973
2025-05-21,2,1859.2920127437453,1870.1965946589635,-10.904581915218131,2393.1141717290548,2299.584684595737,93.52948713331784
2025-05-22,3,1724.2106730840474,1732.1063617693449,-7.895688685297619,412.15149611139304,412.15149611139304,0.0
2025-05-23,8,739.9697606114678,1233.822975928872,-493.8532153174041,620.236716051942,620.236716051942,0.0
2025-05-24,32,769.7791591655507,4021.8344805497436,-3252.0553213841945,345.7853827795808,345.7853827795808,0.0
2025-05-25,2,1668.1438057421842,1669.6545206599758,-1.5107149177915664,460.7664997410383,441.65489214721947,19.111607593818796
2025-05-26,0,1737.310182704823,1737.310182704823,2.1227464230832993e-13,8218.465591975626,8218.465591975626,0.0
2025-05-27,7,1979.113418471029,2077.7387306410724,-98.62531217004369,454.96769854981494,389.44586645674553,65.52183209306939
2025-05-28,3,1973.814826964517,2000.5345247060325,-26.71969774151566,4650.922089159925,4504.345740265906,146.57634889401947
2025-05-29,3,1844.3825497274745,1865.7404108036956,-21.357861076221358,4020.343417933346,3858.0283168088185,162.31510112452753
2025-05-30,27,820.8817309126024,3118.9595426248648,-2298.077811712263,2439.3821438666664,2232.863393454333,206.51875041233342
2025-05-31,20,792.184960460452,2074.8569657776275,-1282.6720053171755,1066.4050707117026,802.0239210867436,264.3811496249591
2025-06-01,10,1799.2617883835046,2213.2134711057656,-413.95168272226215,44324.0569679056,44336.97583413415,-12.9188662285394
2025-06-02,6,3685.5632680272793,3977.8307222631547,-292.2674542358758,34059.83160265322,34072.94353937412,-13.111936720905362
2025-06-03,2,4905.48190521821,4907.237056536523,-1.7551513183125413,16988.103470776237,16988.878980826903,-0.7755100506658579
2025-06-04,3,4338.811263228931,4355.176302845234,-16.36503961630409,13596.769117558337,13603.41013013954,-6.641012581204279
2025-06-05,0,3616.335335275879,3616.335335275879,1.5187850976872141e-13,8090.221698012128,8090.221698012128,6.110667527536862e-13
2025-06-06,0,1943.5731894763755,1943.5731894763812,-5.4790338932519944e-12,12319.330336105615,12319.33033610564,-2.376054908381775e-11
2025-06-07,0,1803.303134417771,1803.30313441777,9.750533713770437e-13,3828.1648604316797,3828.1648604316797,0.0
2025-06-08,0,2565.720350718573,2565.7203507185727,8.810729923425242e-13,86.8161633579199,86.81616335791969,2.1094237467877974e-13
2025-06-09,2,2566.623640917929,2568.692744413283,-2.0691034953542324,703.8035444648808,703.8035444648808,0.0
2025-06-10,0,2518.795548479457,2518.7955484794566,1.0302869668521453e-13,152.88151641269218,152.88151641269218,0.0
2025-06-11,0,2524.0817836044976,2524.0817836044966,8.57980353430321e-13,2038.4963327853075,2038.4963327853075,0.0
2025-06-12,0,2474.2594406274397,2474.2594406274443,-4.758859972753271e-12,425.32568386811613,425.32568386811613,0.0
2025-06-13,0,1863.8338763067798,1863.8338763067818,-2.1600499167107046e-12,290.3490052442902,290.3490052442902,0.0
2025-06-14,0,1843.1712303452853,1843.1712303452844,9.343636975245317e-13,77.97500319765047,77.97500319765047,0.0
2025-06-15,0,2453.242347039903,2453.242347039903,1.3589129821411916e-13,0.0,0.0,0.0
2025-06-16,0,2370.662049048708,2370.6620490487076,7.283063041541027e-14,399.70909023406233,399.70909023406233,0.0
2025-06-17,0,2726.455318698206,2726.455318698206,1.3589129821411916e-13,1688.370606890969,1688.370606890969,0.0
2025-06-18,0,2942.149403136197,2942.1494031361967,1.376676550535194e-13,88.71613128256959,88.71613128256959,0.0
2025-06-19,2,3112.7552927767792,3144.8632462995015,-32.107953522722035,415.1487293841213,415.1487293841213,0.0
2025-06-20,0,2178.2400343905506,2178.2400343905506,2.1316282072803006e-14,49.6001244241542,49.6001244241542,0.0
2025-06-21,0,1589.2160534021687,1589.2160534021764,-7.814193736521702e-12,149.09278620082335,149.09278620082335,0.0
2025-06-22,0,2592.0485994877754,2592.0485994877736,1.6706636074559356e-12,518.9040019673917,518.9040019673917,0.0
2025-06-23,0,2627.6322572408385,2627.6322572408385,7.993605777301127e-14,315.58469855455814,315.58469855455814,0.0
2025-06-24,0,2536.436740466064,2536.436740466062,1.7070789226636407e-12,14414.798780738038,14414.798780738027,1.162803187071404e-11
2025-06-25,0,2855.9675142493625,2855.9675142493625,0.0,3203.648564000543,3203.648564000543,0.0
2025-06-26,0,2940.27581967654,2940.275819676543,-3.163691530971846e-12,972.989580373379,972.989580373379,0.0
2025-06-27,0,1644.376748922633,1644.3767489226348,-1.8696155734687636e-12,137.69453359563101,137.69453359563101,0.0
2025-06-28,5,1542.9547056927559,2117.603852310484,-574.6491466177287,1143.049305484228,863.7088743809983,279.34043110322955
2025-06-29,0,3010.4810516822517,3010.4810516822513,5.915268275202834e-13,2961.8322372235502,2961.8322372235502,3.268496584496461e-13
2025-06-30,0,3007.102838046431,3007.10283804643,8.79296635503124e-13,2867.715632538191,2867.715632538191,0.0
2025-07-01,0,3054.0509404973873,3054.050940497387,1.2789769243681803e-13,18126.44086335218,18126.44086335218,3.410605131648481e-13
2025-07-02,0,3484.9565318133673,3484.9565318133696,-2.206235194535111e-12,17641.62388640925,17641.62388640926,-1.0345502232667059e-11
2025-07-03,0,4096.788372633129,4096.7883726331265,2.469136006766348e-12,24193.47808976182,24193.478089761804,1.731592647047364e-11
2025-07-04,9,1882.5304371123318,2932.955738872642,-1050.4253017603103,11490.636760865722,11261.316463518408,229.32029734731515
2025-07-05,0,1457.9348874789018,1457.934887478903,-1.1297629498585593e-12,8564.530277329042,8564.530277329042,0.0
2025-07-06,0,3030.2265328384537,3030.226532838452,1.7323920076250943e-12,21504.882585374147,21504.88258537414,1.1624479157035239e-11
2025-07-07,0,3297.5999093780692,3297.5999093780692,5.3290705182007514e-14,4004.6235988945823,4004.6235988945823,0.0
2025-07-08,0,3345.714614670348,3345.714614670348,7.993605777301127e-14,2924.131449617682,2924.131449617682,0.0
2025-07-09,0,2649.1321676476005,2649.1321676476005,1.1723955140041653e-13,1985.3637134487126,1985.3637134487124,1.1368683772161603e-13
2025-07-10,0,2596.781009881898,2596.7810098818977,6.270539643082884e-13,869.0810301354358,869.0810301354358,0.0
2025-07-11,0,1274.6955620772887,1274.6955620772887,0.0,3992.0497779962993,3992.0497779962993,0.0
2025-07-12,0,1258.9347171472791,1258.9347171472791,0.0,103.14339943301772,103.14339943301772,0.0
2025-07-13,0,2917.3429456650388,2917.34294566504,-1.0125233984581428e-12,281.9985571984117,281.9985571984117,0.0
2025-07-14,0,2985.0017608714693,2985.0017608714693,1.616484723854228e-13,809.7214499653531,809.7214499653526,5.773159728050814e-13
2025-07-15,0,2927.6788947384507,2927.6788947384516,-1.056932319443149e-12,2985.7589098373282,2985.7589098373255,2.3874235921539366e-12
2025-07-16,0,2911.278446034182,2911.2784460341804,1.1390888232654106e-12,1184.9674024013111,1184.967402401311,3.979039320256561e-13
2025-07-17,0,2987.553309608379,2987.553309608378,4.085620730620576e-13,2586.8232428077686,2586.8232428077686,0.0
2025-07-18,0,1273.5124205643397,1273.5124205643397,0.0,301.70158919911154,301.70158919911154,0.0
2025-07-19,0,1317.3112466125665,1317.3112466125667,-6.672440377997191e-14,0.0,0.0,0.0
2025-07-20,0,2873.2221649956655,2873.222164995663,1.970867913314578e-12,280.42067658178723,280.4206765817741,1.3109513474773848e-11
2025-07-21,0,2452.6985763134926,2452.6985763134926,5.3290705182007514e-14,1155.2403010339567,1155.2403010339567,0.0
2025-07-22,0,2188.6417456067447,2188.6417456067493,-4.757083615913871e-12,1991.4564933998847,1991.4564933998847,0.0
2025-07-23,0,2349.7941553601863,2349.7941553601854,9.9298347322474e-13,1266.1383315068592,1266.138331506859,2.1316282072803006e-13
2025-07-24,0,2378.5777662525347,2378.5777662525365,-2.2097879082139116e-12,3050.4380046667875,3050.4380046667875,0.0
2025-07-25,0,997.4378635815751,997.4378635815763,-1.2714274078007293e-12,0.0,0.0,0.0
2025-07-26,0,1085.9231126298296,1085.9231126298298,-2.078337502098293e-13,257.88585825192195,257.88585825192195,0.0
2025-07-27,0,2514.1466707507893,2514.1466707507884,1.1253220577600587e-12,3059.19779092004,3059.1977909200364,3.794298208958935e-12
2025-07-28,0,2385.5975522317967,2385.5975522317963,8.704148513061227e-14,4281.100479662156,4281.100479662156,0.0
2025-07-29,0,2324.5285267734835,2324.5285267734835,7.682743330406083e-14,2125.934261890994,2125.934261890994,0.0
2025-07-30,0,2362.3438148969954,2362.343814896995,1.0169642905566434e-13,269.8749832342393,269.8749832342393,0.0
2025-07-31,0,2236.3463089490115,2236.3463089490106,9.960920976936904e-13,328.9705022776981,328.9705022776981,0.0
2025-08-01,18,940.6637782767374,5134.472837437259,-4193.809059160521,189.12810589460307,189.12810589460307,0.0
2025-08-02,20,1005.123972080071,4957.842872084518,-3952.718900004447,138.87902368303105,138.87902368303105,0.0
2025-08-03,2,2245.2321421174292,2949.4864420397244,-704.2542999222939,898.3638481222242,898.3638481222242,0.0
2025-08-04,0,2425.63142591372,2425.6314259137193,5.710987238671805e-13,247.44592479345837,247.44592479345837,0.0
2025-08-05,0,2219.9735456019525,2219.9735456019525,4.574118861455645e-14,220.89599794967444,220.89599794967444,0.0
2025-08-06,0,2065.7959252600313,2065.795925260031,8.397726958264684e-13,5549.1727915331,5549.172791533089,1.1084466677857563e-11
2025-08-07,5,2069.94548405908,2135.399842224942,-65.45435816586208,1133.6089614072068,1133.6089614072068,0.0
2025-08-08,28,987.3619216231534,3623.9921131617293,-2636.630191538575,560.6435528683232,560.6435528683232,0.0
2025-08-09,7,946.5381160969715,1058.8322955942049,-112.29417949723363,1453.2718866733876,1453.2718866733876,0.0
2025-08-10,3,1987.7719117468262,2015.674599588922,-27.902687842096178,4571.48121447489,4431.0616394409235,140.4195750339669
2025-08-11,0,1907.59066050129,1907.590660501289,8.304468224196171e-13,3282.033003683668,3282.033003683668,0.0
2025-08-12,0,2015.8247428673803,2015.8247428673824,-2.2080115513745113e-12,8750.540048485671,8750.540048485671,0.0
2025-08-13,0,1828.234461052624,1828.234461052624,8.526512829121202e-14,5864.839494095524,5864.839494095523,1.0054179711005418e-12
