date,phase,horizon_hours,horizon_objective_yuan,horizon_planned_cost_yuan,first_day_planned_cost_yuan,horizon_final_soc_kwh,first_day_end_soc_kwh,seconds,objective_error
2025-01-02,warmup,48,121330.99143302567,121330.99143302567,62980.1623831795,1199.9999999999964,8550.000000000002,0.0080704000138212,2.9103830456733704e-11
2025-01-03,warmup,48,121117.56750304041,121117.56750304041,62268.300418186875,1200.0000000000064,8550.000000000004,0.008289500023238361,4.3655745685100555e-11
2025-01-04,warmup,48,49119.37871226556,49119.37871226556,26269.20602279945,1200.0000000000182,8550.000000000004,0.008590799989178777,1.4551915228366852e-11
2025-01-05,warmup,48,49004.66426931854,49004.66426931854,26211.848801325938,1199.9999999999964,8550.000000000002,0.008567199984099716,7.275957614183426e-12
2025-01-06,warmup,48,119973.65984388236,119973.65984388236,61696.34658860784,1199.9999999999964,8550.000000000004,0.009431099984794855,4.3655745685100555e-11
2025-01-07,warmup,48,119004.2644997011,119004.2644997011,60997.70032986596,1199.9999999999982,8550.0,0.008735200011869892,1.4551915228366852e-11
2025-01-08,warmup,48,120017.14150315628,120017.14150315628,61587.50090849281,1199.9999999999955,8550.000000000002,0.01079199998639524,7.275957614183426e-11
2025-01-09,warmup,48,84265.55297607585,84265.55297607585,61713.54497233749,1200.0000000000036,8550.0,0.012045199982821941,0.0
2025-01-10,warmup,48,48487.9698991658,48487.9698991658,25886.95983888909,1199.9999999999982,8550.000000000002,0.009915600006934255,7.275957614183426e-12
2025-01-11,warmup,48,82537.30324536408,82537.30324536408,24921.005881292644,1199.9999999999982,8550.000000000002,0.010442200000397861,0.0
2025-01-12,warmup,48,122229.89785400976,122229.89785400976,63047.723276510485,1199.9999999999973,8550.000000000002,0.011853500007418916,0.0
2025-01-13,warmup,48,123941.66593901977,123941.66593901977,63861.11649400477,1200.0000000000018,8550.000000000002,0.012731700000585988,1.4551915228366852e-11
2025-01-14,warmup,48,124648.76328046972,124648.76328046972,64135.88464959571,1199.999999999999,8550.0,0.013754999992670491,1.4551915228366852e-11
2025-01-15,warmup,48,125069.24963819684,125069.24963819684,64248.06580686567,1200.0000000000045,8550.0,0.014754599978914484,5.820766091346741e-11
2025-01-16,warmup,48,89714.2382936061,86393.16905661424,62429.35981392155,1200.0000000000018,8550.000000000002,0.020967300020856783,5.820766091346741e-11
2025-01-17,warmup,48,53973.376807694774,51393.29931114445,27428.780535738886,1200.000000000009,8550.0,0.02300029998878017,6.548361852765083e-11
2025-01-18,warmup,48,89198.0850865063,86567.47423891115,27533.853144241282,1200.0000000000018,8550.000000000004,0.024942199990618974,1.8917489796876907e-10
2025-01-19,warmup,48,124091.46211511143,121696.81340339483,62727.26337721753,1199.9999999999964,8550.0,0.02607749999151565,1.4551915228366852e-11
2025-01-20,warmup,48,123723.42746509936,121635.66998629912,62619.14021341676,1199.9999999999955,8550.0,0.02693699998781085,7.275957614183426e-11
2025-01-21,warmup,48,123920.65236748503,119973.19473996942,61700.03069212851,1200.0,8550.000000000002,0.03245889997924678,1.1641532182693481e-10
2025-01-22,warmup,48,123150.09230096402,119484.84271859204,61455.797874178024,1200.0000000000055,8550.0,0.03381459999945946,5.820766091346741e-11
2025-01-23,warmup,48,87455.33088889379,84555.38986083283,61680.37239290886,1200.0000000000027,8550.000000000002,0.03726969999843277,4.3655745685100555e-11
2025-01-24,warmup,48,52094.304484728455,49734.40983458735,26587.955568973346,1199.9999999999982,8550.0,0.043145300005562603,8.003553375601768e-11
2025-01-25,warmup,48,86942.01071038352,84272.71115271354,26540.74076070614,1199.9999999999982,8550.0,0.03789909998886287,7.275957614183426e-11
2025-01-26,warmup,48,121075.66479011564,118129.97413473281,60903.315076560146,1200.0000000000018,8550.0,0.03602709999540821,1.3096723705530167e-10
2025-01-27,warmup,48,120205.12903448897,117190.08396936722,60643.60891502055,1199.9999999999964,8550.0,0.03534220001893118,5.820766091346741e-11
2025-01-28,warmup,48,119455.04625824481,116375.32077057232,59836.50496031376,1199.999999999999,8550.0,0.034916300006443635,8.731149137020111e-11
2025-01-29,warmup,48,120254.29892426342,117095.74656443845,60469.23124522521,1199.9999999999982,8550.000000000002,0.03473659997689538,1.1641532182693481e-10
2025-01-30,warmup,48,83702.48652091839,81003.8198267491,59573.47875551396,1199.999999999999,8550.0,0.034163500007707626,4.3655745685100555e-11
2025-01-31,warmup,48,47885.54196930377,45695.97852053825,24633.4072355879,1200.0000000000027,8550.0,0.03599139998550527,7.275957614183426e-12
2025-02-01,evaluation,48,81909.60712626159,79420.77410752789,24591.965483781973,1200.0000000000073,8550.000000000004,0.038353600015398115,8.731149137020111e-11
2025-02-02,evaluation,48,116117.6739937705,113301.0909519926,58570.63774078399,1199.9999999999927,8550.0,0.0403185999894049,1.4551915228366852e-11
2025-02-03,evaluation,48,115032.33458390359,112136.68502349891,57986.313051731566,1199.999999999999,8550.0,0.03505440001026727,0.0
2025-02-04,evaluation,48,114387.78153999563,111446.10958239807,57783.632132512525,1199.999999999999,8550.0,0.033679199987091124,1.0186340659856796e-10
2025-02-05,evaluation,48,113839.5801350648,110895.54020178056,57306.15201566768,1200.0000000000036,8550.0,0.035803699982352555,8.731149137020111e-11
2025-02-06,evaluation,48,79930.36331368673,77299.62585491373,57595.69991169391,1200.000000000001,8550.0,0.033953400008613244,1.3096723705530167e-10
2025-02-07,evaluation,48,44531.961571225926,42331.685150573016,23340.50767239619,1199.9999999999982,8550.0,0.041827899985946715,7.275957614183426e-12
2025-02-08,evaluation,48,76711.02568247447,74239.63699339388,22355.471253025302,1199.9999999999964,8550.0,0.03940879998845048,1.3096723705530167e-10
2025-02-09,evaluation,48,109877.39349406718,107070.21670110748,55301.70675164712,1200.000000000001,8550.0,0.03884640001342632,3.2014213502407074e-10
2025-02-10,evaluation,48,109911.70195737481,107103.5825904297,55580.92614525222,1199.9999999999936,8549.999999999998,0.03855709999334067,1.8917489796876907e-10
2025-02-11,evaluation,48,108489.4492836821,105725.01580991474,54772.279289379774,1199.9999999999964,8550.000000000002,0.03716279999935068,2.1827872842550278e-10
2025-02-12,evaluation,48,107040.11528353037,104203.03077393732,53956.48806303863,1199.9999999999982,8550.000000000004,0.03309319997788407,3.055902197957039e-10
2025-02-13,evaluation,48,72248.12386157176,69795.92204686979,53202.74900599842,1200.0000000000018,7950.0,0.03298050002194941,2.473825588822365e-10
2025-02-14,evaluation,48,37068.99225417763,35413.39094921866,19478.77654708056,1200.0,7926.4642793214225,0.03560589998960495,2.9103830456733704e-11
2025-02-15,evaluation,48,68384.54255948335,66171.83593980025,19307.505908827785,1199.9999999999982,8550.0,0.03953820001333952,5.820766091346741e-11
2025-02-16,evaluation,48,99479.11679164233,96601.88156077347,50258.96046368697,1199.9999999999982,8550.000000000007,0.033687899995129555,0.0
2025-02-17,evaluation,48,98505.86011830157,95582.78415474016,49694.011852280884,1199.9999999999964,8549.999999999998,0.034496999986004084,1.4551915228366852e-11
2025-02-18,evaluation,48,98212.63986650914,95388.08503051271,49358.472430848284,1199.9999999999964,8550.000000000002,0.03482760000042617,1.3096723705530167e-10
2025-02-19,evaluation,48,97913.23148728516,95100.54830831257,49366.03714065382,1200.0000000000055,8550.0,0.03676019998965785,2.9103830456733704e-11
2025-02-20,evaluation,48,66098.51550790221,64085.78490509811,48504.122102786816,1200.0,7265.4534468445145,0.03630830001202412,1.4551915228366852e-11
2025-02-21,evaluation,48,34893.6162288656,33711.39215391482,18213.543176490013,1200.0000000000036,6894.697823079272,0.03614250000100583,8.003553375601768e-11
2025-02-22,evaluation,48,65149.27873801707,63154.226072352554,18875.643972835864,1199.9999999999973,8550.0,0.0351719000027515,5.093170329928398e-11
2025-02-23,evaluation,48,94863.98796684698,92084.89848211635,47941.12276821598,1199.9999999999936,8550.0,0.03773159999400377,8.731149137020111e-11
2025-02-24,evaluation,48,94385.50127426062,91605.92695053355,47503.94064767395,1200.0000000000027,8550.0,0.0383395999961067,1.0186340659856796e-10
2025-02-25,evaluation,48,94402.93061605186,91653.17715489036,47611.822239922694,1200.0000000000045,8550.0,0.034594700002344325,7.275957614183426e-11
2025-02-26,evaluation,48,93340.12206847723,90631.52420685532,47236.27525465704,1199.9999999999982,8549.999999999998,0.037221600010525435,1.4551915228366852e-11
2025-02-27,evaluation,48,63320.47324132214,61418.78946019004,45952.11792344864,1200.000000000001,6753.529800441578,0.0309776000212878,5.093170329928398e-11
2025-02-28,evaluation,48,34492.36462955517,33356.42443609243,17912.003057705173,1200.0,6452.889031916275,0.03175959998043254,4.3655745685100555e-11
2025-03-01,evaluation,48,63129.49512984228,61129.95306003869,18875.514996257956,1200.0000000000055,8550.000000000002,0.03421569999773055,1.1641532182693481e-10
2025-03-02,evaluation,48,90965.78435116602,88127.91559102976,45957.44357850187,1200.0000000000055,8550.000000000004,0.03720880000037141,2.9103830456733704e-11
2025-03-03,evaluation,48,92230.75851239519,89207.08831192703,46328.695536243235,1200.0000000000045,8550.0,0.03623219998553395,4.3655745685100555e-11
2025-03-04,evaluation,48,95260.9820206404,91228.74666004861,47311.774719184046,1200.0000000000073,8550.0,0.03345770001760684,1.3096723705530167e-10
2025-03-05,evaluation,48,98363.70729425566,93511.12064969682,48288.39940183745,1199.9999999999982,8550.000000000004,0.039721100009046495,4.3655745685100555e-11
2025-03-06,evaluation,48,67112.77141948848,63221.62006667168,47856.041822265426,1199.9999999999973,6475.852839693822,0.03891999999177642,1.4551915228366852e-11
2025-03-07,evaluation,48,35781.324961744205,32857.63251771137,17554.064791300345,1200.0000000000064,5839.642855162648,0.037163799977861345,4.3655745685100555e-11
2025-03-08,evaluation,48,67382.07111117122,63541.990010116104,18774.492802750676,1199.9999999999982,8550.000000000004,0.038315000012516975,7.275957614183426e-11
2025-03-09,evaluation,48,96616.14163241095,91708.73933660716,47688.293429487974,1200.0000000000027,8550.000000000004,0.040084200009005144,1.1641532182693481e-10
2025-03-10,evaluation,48,94700.79594438375,89741.04984134756,46569.016767959634,1199.9999999999945,8550.000000000002,0.037787600012961775,1.0186340659856796e-10
2025-03-11,evaluation,48,93735.89281817667,88618.20847175687,46030.75558720954,1199.9999999999973,8550.000000000002,0.03397350001614541,4.3655745685100555e-11
2025-03-12,evaluation,48,92591.41775204087,87380.72319046952,45420.17005961618,1200.0000000000027,8550.0,0.03360460000112653,1.4551915228366852e-11
2025-03-13,evaluation,48,61353.112573124265,58019.892548176096,43312.42900369731,1200.000000000001,5182.79879109198,0.03082339998218231,2.9103830456733704e-11
2025-03-14,evaluation,48,32378.751811397866,31079.52464393396,16364.429098047822,1200.000000000004,4811.223597452257,0.04006269999081269,1.8189894035458565e-11
2025-03-15,evaluation,48,62067.27243576895,58868.929631629406,18123.110992145048,1199.999999999999,8550.0,0.030900999990990385,8.003553375601768e-11
2025-03-16,evaluation,48,90312.72732017434,85195.49271530876,44383.01493855308,1200.0000000000045,8550.000000000002,0.03568880000966601,7.275957614183426e-11
2025-03-17,evaluation,48,89983.87680951616,85051.36502753897,44256.89326820882,1200.0000000000082,8550.000000000004,0.040164200006984174,4.3655745685100555e-11
2025-03-18,evaluation,48,87461.53660343961,83109.68621371248,43345.82521289833,1199.9999999999982,8550.0,0.04294630000367761,5.820766091346741e-11
2025-03-19,evaluation,48,85589.2617311906,81680.7886521941,43079.137824417034,1200.0000000000036,8550.000000000004,0.04121080000186339,1.0186340659856796e-10
2025-03-20,evaluation,48,57028.21944065314,54361.15166664379,40133.64626824109,1200.0000000000055,4586.519989776224,0.036634799995226786,5.093170329928398e-11
2025-03-21,evaluation,48,31417.120789173783,30165.874949073306,15707.516972930696,1200.0000000000082,4367.39356329049,0.031569200014928356,3.2741809263825417e-11
2025-03-22,evaluation,48,57691.13794065623,55208.36183853388,17826.80446430034,1200.0000000000064,8550.000000000004,0.03428409999469295,2.1827872842550278e-11
2025-03-23,evaluation,48,81536.70567818507,77877.14552149274,40801.85162590689,1200.0,8550.0,0.038922600011574104,5.820766091346741e-11
2025-03-24,evaluation,48,80653.82830630675,77219.2675780677,40427.80660004169,1199.9999999999982,8550.0,0.035639400011859834,1.4551915228366852e-11
2025-03-25,evaluation,48,81004.7930101722,77798.30603477647,40647.464175286164,1199.9999999999973,8550.000000000002,0.0433101000089664,1.0186340659856796e-10
2025-03-26,evaluation,48,81084.71779232322,77855.45461248714,40830.36303160191,1200.000000000009,8550.000000000005,0.03739700000733137,7.275957614183426e-11
2025-03-27,evaluation,48,54640.07756125258,52331.61318821121,38388.23468214467,1200.0000000000027,4219.118432409655,0.03481660000397824,1.0186340659856796e-10
2025-03-28,evaluation,48,30431.243555509758,29144.72639712003,15253.26101770338,1199.999999999996,4073.0076345321154,0.03233769998769276,2.1827872842550278e-11
2025-03-29,evaluation,48,55379.01090355174,53279.616530538005,17368.91879531132,1200.0000000000014,8550.0,0.033179899997776374,1.0186340659856796e-10
2025-03-30,evaluation,48,76971.17439785955,74052.9972772618,38942.36900498477,1199.9999999999982,8550.0,0.03499889999511652,1.1641532182693481e-10
2025-03-31,evaluation,48,76030.63340841615,73103.2882064683,38554.33837368811,1200.000000000001,8550.0,0.038708899985067546,1.3096723705530167e-10
2025-04-01,evaluation,48,75437.20421706127,72414.31292699264,38116.76300994885,1200.0000000000045,8550.000000000002,0.03820329997688532,7.275957614183426e-11
2025-04-02,evaluation,48,75890.56170770663,72750.46069119484,37953.86186001239,1199.9999999999973,8550.0,0.037120799999684095,1.4551915228366852e-11
2025-04-03,evaluation,48,52494.0621461506,50274.10174577203,36544.90569326309,1200.000000000001,3661.9504024203275,0.03344720002496615,7.275957614183426e-12
