date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh,no_storage_total_cost_yuan
2025-02-11,1,86086.10843887969,113.45282603538146,86199.56126491507,53758.369403468016,666.90895474581,54425.27835821382,24384.749705578313,19751.647261518432,6345.8616875218495,13,1,0.0,0,1922.5423911764685,6000.000000000001,6000.000000000002,65863.55615529216
2025-02-12,1,85244.04786420878,309.00206823642304,85553.04993244521,53167.239122835126,1433.5743690050429,54600.81349184017,24199.25109725637,19601.39338877766,5688.456090633158,23,1,4.968628766942857,1,1929.4487435780989,6000.000000000002,6000.000000000001,66032.44716221273
2025-02-13,1,84706.71419306632,136.7522621867545,84843.46645525307,52874.348271625495,701.2241364626465,53575.57240808814,24068.231326844267,19495.267374743857,8941.023486486,17,1,13.600015831030532,4,3638.1297345816165,6000.000000000001,6000.000000000001,65006.695673962175
2025-02-14,1,37785.311247166166,984.8192343691851,38770.13048153535,19527.027008198107,3165.9596010224086,22692.986609220516,19351.103943624345,15674.39419433572,5291.618915580057,34,1,812.0380400541435,16,1076.9748063363595,6000.000000000001,5999.999999999998,34099.833679422845
2025-02-15,1,36877.64102921225,788.3848607034765,37666.02588991573,19063.661453510835,2688.85437306963,21752.515826580468,18826.522456658535,15249.483189893404,4808.895523150599,41,1,462.57719278570517,13,801.0496037551927,5999.999999999998,6000.000000000004,34240.56106060556
2025-02-16,1,81238.18731637715,1371.6823014250024,82609.86961780215,50346.7810174927,5155.319093067497,55502.1001105602,23190.58371750042,18784.372811175344,2826.279611477071,51,1,541.7651780159068,17,889.8881962551449,6000.000000000004,6000.000000000002,66568.89002712084
2025-02-17,1,80815.04999319554,395.3072858355421,81210.35727903109,49982.003142344176,1620.8958906395637,51602.89903298374,23244.224345269115,18827.821719667983,5610.091486763289,28,1,152.00039990788218,8,2442.8758520707597,6000.000000000002,6000.000000000001,62856.07335608223
2025-02-18,1,80194.96165669698,466.46730800105456,80661.42896469803,49503.67661360537,2086.4634289618425,51590.14004256722,23234.009325226067,18819.547553433113,4155.579409571745,30,1,167.53081356005566,7,1629.5086019213036,6000.000000000001,5999.999999999998,62671.37085170348
2025-02-19,1,79772.42133807129,935.3422949890039,80707.7636330603,49179.8611145919,3607.050514721857,52786.911629313756,23268.57505281428,18847.545792779565,3407.4069896922483,56,1,226.4885614892936,9,443.91667479931505,5999.999999999998,6000.000000000002,64231.41676344537
2025-02-20,1,79477.83900495047,508.7672623559493,79986.60626730642,48968.64593364355,2220.592799371459,51189.23873301501,23257.70924858346,18838.74449135261,4574.507776742235,30,1,78.62581533754383,4,1538.4911913362655,6000.000000000002,6000.0,62550.35189940849
2025-02-21,1,35769.89347108968,585.1346201003893,36355.02809119007,18428.83196027666,2174.9793289784925,20603.81128925515,18381.834567238613,14889.285999463274,7302.217490081401,33,1,87.00070594721102,6,764.0293192600526,6000.0,6000.000000000004,33878.483538714754
2025-02-22,1,35137.86048687186,1343.2702833295748,36481.13077020144,18077.442553227378,5183.411645862093,23260.85419908947,18038.907748613066,14611.515276376584,5208.9754146316245,58,1,803.3002306045914,23,551.2805099881557,6000.000000000004,6000.000000000001,33549.058468694246
2025-02-23,1,77666.27544843066,1341.948173196663,79008.22362162733,47700.27616112925,4825.2602250229265,52525.53638615218,23212.780379019285,18802.35210700562,3065.941666280333,51,1,512.2997480288768,15,1021.0960030896905,6000.000000000001,6000.000000000001,63211.775697493635
2025-02-24,1,77050.61631176512,453.64330561352165,77504.25961737864,47198.71880793684,2052.043859349614,49250.76266728646,23137.429947047014,18741.31825710808,4905.11431077303,30,1,97.12126129095918,7,2086.789025087887,6000.000000000001,6000.0,60863.41050362676
2025-02-25,1,76727.84485074923,549.2180187355485,77277.06286948478,47007.75971080547,2008.809641970848,49016.569352776314,23148.67718116396,18750.428516742806,7057.490971730297,37,1,127.38684944729539,8,2922.88774778072,6000.0,6000.0,60623.543164239694
