variant,date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh
greedy_closed,2025-03-20,1,65963.08573712736,1537.3823527019251,67500.46808982929,40395.17761897079,6358.293798353678,46753.47141732447,20766.34897401109,17361.747420057924,1886.9047192094542,69,1,659.072740473094,27,923.1331368598553,10385.697675121042,9784.581285000002
greedy_closed,2025-06-21,1,36102.90167933716,1060.5451371428583,37163.44681648002,21560.827623190995,4522.846422982861,26083.674046173855,16844.041426289914,13282.427243805425,14267.092233995532,51,1,529.0124138095247,26,706.5812385714283,9349.753837493252,9751.138628037037
greedy_closed,2025-09-23,1,64764.67657506383,1784.78774554286,66549.46432060668,42030.82774660125,6908.656647026269,48939.48439362752,18185.726088087642,15620.96802795714,1868.0906771428592,78,1,1201.131482857145,47,672.6102138095247,7380.9635004644515,6391.485837568725
greedy_closed,2025-12-21,1,96460.3289496627,1302.7986189231506,97763.12756858584,62354.778939591895,4964.298838908344,67319.07777850024,23460.703543972668,18860.54425544262,4125.186413389139,62,1,829.3258733333334,36,753.7236947619057,10132.187785124703,10290.660690874973
dp_fixed,2025-03-20,1,65963.08573712736,1452.4560888924016,67415.54182601976,40395.17761897079,5686.842539739494,46082.020158710286,20766.34897401109,17361.747420057924,1801.9784553999305,73,1,659.072740473094,27,838.2068730503315,10385.697675121042,9784.581285000002
dp_fixed,2025-06-21,1,36102.90167933716,1060.5451371428583,37163.44681648002,21560.827623190995,4522.846422982861,26083.674046173855,16844.041426289914,13282.427243805425,14267.092233995532,51,1,529.0124138095247,26,706.5812385714283,9349.753837493252,9751.138628037037
dp_fixed,2025-09-23,1,64764.67657506383,1784.78774554286,66549.46432060668,42030.82774660125,6908.656647026269,48939.48439362752,18185.726088087642,15620.96802795714,1868.0906771428592,78,1,1201.131482857145,47,672.6102138095247,7380.9635004644515,6391.485837568725
dp_fixed,2025-12-21,1,96460.3289496627,1302.7986189231506,97763.12756858584,62354.778939591895,4964.298838908344,67319.07777850024,23460.703543972668,18860.54425544262,4125.186413389139,62,1,829.3258733333334,36,753.7236947619057,10132.187785124703,10290.660690874973
dp_closed,2025-03-20,1,65963.08573712736,1452.4560888924016,67415.54182601976,40395.17761897079,5686.842539739494,46082.020158710286,20766.34897401109,17361.747420057924,1801.9784553999305,73,1,659.072740473094,27,838.2068730503315,10385.697675121042,9784.581285000002
dp_closed,2025-06-21,1,36102.90167933716,1060.5451371428583,37163.44681648002,21560.827623190995,4522.846422982861,26083.674046173855,16844.041426289914,13282.427243805425,14267.092233995532,51,1,529.0124138095247,26,706.5812385714283,9349.753837493252,9751.138628037037
dp_closed,2025-09-23,1,64764.67657506383,1784.78774554286,66549.46432060668,42030.82774660125,6908.656647026269,48939.48439362752,18185.726088087642,15620.96802795714,1868.0906771428592,78,1,1201.131482857145,47,672.6102138095247,7380.9635004644515,6391.485837568725
dp_closed,2025-12-21,1,96460.3289496627,1302.7986189231506,97763.12756858584,62354.778939591895,4964.298838908344,67319.07777850024,23460.703543972668,18860.54425544262,4125.186413389139,62,1,829.3258733333334,36,753.7236947619057,10132.187785124703,10290.660690874973
