variant,paper_total_yuan,reproduced_total_yuan,difference_yuan
greedy_closed,14174236.1,15796564.833744902,1622328.7337449025
dp_fixed,14022321.93,15576739.821477963,1554417.891477963
dp_closed,14022279.33,15577022.44439465,1554743.1143946499
